Team,score
Gonzaga,24.31
North Carolina,59.72
West Virginia,50.63
Villanova,56.97
Kentucky,70.43
Kansas,51.67
Florida,57.92
Louisville,68.08
Duke,70.33
Wichita St.,21
Purdue,56.52
UCLA,68.62
Virginia,30.19
Iowa St.,48.71
Baylor,24.27
Oregon,62.28
Wisconsin,55.04
Oklahoma St.,34.36
Florida St.,63.48
Michigan,55.09
SMU,45.86
Cincinnati,47.02
Arizona,69.61
Butler,45.58
Notre Dame,28.14
Creighton,56.44
Saint Mary's (CA),17
South Carolina,42.72
Marquette,47.25
Xavier,63.58
Indiana,51.5
Kansas St.,31.95
Minnesota,42.17
Miami (FL),64.51
TCU,54.32
Wake Forest,51.43
Northwestern,18.68
Arkansas,53.36
Texas Tech,51.05
Michigan St.,50.65
Syracuse,50.13
Vanderbilt,49.82
Clemson,51.33
Dayton,32.11
Maryland,47.44
Rhode Island,21.32
Virginia Tech,57.63
Utah,49.76
Houston,43.4
Seton Hall,52.37
VCU,40.45
Southern California,57.05
Providence,57.64
Alabama,66.54
Georgetown,38.28
Oklahoma,54.69
Tennessee,48.72
Georgia,52.93
California,49.24
Texas,68.07
Illinois,56.17
Nevada,29.98
Ohio St.,53.77
Illinois St.,36.98
Texas A&M,58.6
Iowa,54.68
UCF,37.23
Middle Tenn.,38.78
Ole Miss,54.48
Pittsburgh,49.25
Colorado,58.13
Georgia Tech,43.18
BYU,13.47
Auburn,50.34
UNCW,32.62
Penn St.,12
ETSU,0
UConn,38.15
Mississippi St.,44.2
San Diego St.,32.33
Vermont,0
Nebraska,44.29
Princeton,24.34
Davidson,24.88
St. John's (NY),38.05
Memphis,45.79
Stanford,61.85
North Carolina St.,25.85
St. Bonaventure,19
UT Arlington,17
Bucknell,0
Colorado St.,18
Richmond,26.12
Boise St.,21.49
Louisiana Tech,13.33
Loyola Chicago,30.19
Temple,43.58
Monmouth,0
New Mexico St.,19
Belmont,28.08
Oakland,0
Fresno St.,0
Arizona St.,56.33
Col. of Charleston,0
Ohio,0
Valparaiso,12.71
Rutgers,34.84
San Francisco,20.4
Akron,0
CSU Bakersfield,21
George Mason,0
Missouri,65.05
New Mexico,24.09
Missouri St.,27.68
Utah St.,34.22
Santa Clara,27.5
George Washington,0
Tulsa,13.98
FGCU,26.68
Furman,0
Harvard,20.3
Boston College,0
Wyoming,28.27
DePaul,42.04
La Salle,27.74
Washington,58.01
Old Dominion,27.65
Towson,15.28
Massachusetts,15.28
Lehigh,30.76
Winthrop,0
Evansville,0
Chattanooga,0
UNI,0
Toledo,15.25
Fort Wayne,0
Southern Ill.,0
UNC Asheville,0
Arkansas St.,17
Buffalo,32.68
Iona,0
Kent St.,13.33
Saint Peter's,0
LSU,60.13
Rice,15.67
Elon,0
Marshall,13.33
Saint Joseph's,16.88
UC Irvine,13.33
Yale,17
UNCG,0
Washington St.,19
Albany (NY),0
Eastern Mich.,0
Grand Canyon,17.28
Northern Ky.,0
William & Mary,0
Georgia St.,34.22
South Dakota,20.72
Troy,0
East Carolina,15
Loyola Marymount,13.33
Wofford,0
Louisiana,15.53
Penn,15.07
Northeastern,0
Western Mich.,0
Mercer,0
Indiana St.,19
Wright St.,0
North Dakota St.,0
UAB,28.14
Utah Valley,17
Ball St.,28.37
Lipscomb,0
Tennessee St.,18
Samford,13.33
North Dakota,0
Fordham,0
Omaha,23.41
Siena,0
South Dakota St.,28.21
Texas St.,0
Hofstra,0
Boston U.,17.34
Weber St.,16
Green Bay,17
Montana,6.67
Eastern Wash.,0
Jacksonville St.,19
Bradley,6.67
Denver,0
Gardner-Webb,0
Canisius,0
Duquesne,0
Murray St.,32.37
San Jose St.,6.67
N.C. Central,0
Air Force,0
UTEP,44.22
Northern Ill.,13.02
Coastal Caro.,25.12
Ga. Southern,0
Morehead St.,30.55
New Hampshire,0
UMBC,0
UNLV,60.11
Navy,6.67
Tulane,29.91
IUPUI,0
Mt. St. Mary's,13.33
New Orleans,0
A&M-Corpus Chris,0
Pacific,0
Drake,0
Oregon St.,52.19
Stony Brook,13.33
UT Martin,26.68
Fairfield,0
Liberty,0
UMKC,6.67
Charlotte,0
Eastern Ill.,0
Holy Cross,0
UC Davis,0
Idaho,0
Oral Roberts,14
Rider,0
James Madison,18.49
Central Mich.,0
Columbia,18.5
San Diego,0
Western Ky.,63.61
Army West Point,0
Ill.-Chicago,0
Portland,15.46
Southeast Mo. St.,0
Bowling Green,15.86
Little Rock,19
Long Beach St.,13.33
Saint Louis,44.25
Hawaii,24.42
Montana St.,21.49
Loyola Maryland,0
Texas Southern,0
South Ala.,34.95
Cleveland St.,0
Portland St.,0
Wagner,13.33
Milwaukee,0
SFA,40.45
South Fla.,30.61
Drexel,0
Tennessee Tech,0
USC Upstate,0
UTSA,20.64
Cal St. Fullerton,18.67
Houston Baptist,16.03
Lamar University,0
Southeastern La.,0
North Florida,0
Sam Houston St.,0
LIU Brooklyn,0
La.-Monroe,0
Fla. Atlantic,0
FIU,17
Miami (OH),0
Saint Francis (PA),0
Seattle U,0
CSUN,0
Colgate,0
Cornell,0
Kennesaw St.,0
Brown,0
Niagara,0
Robert Morris,0
Appalachian St.,0
Eastern Ky.,23.63
High Point,16.77
Fairleigh Dickinson,0
Northern Colo.,0
Campbell,0
Bryant,0
Youngstown St.,0
Manhattan,13.33
Delaware,15.85
Pepperdine,24.64
Quinnipiac,0
UMass Lowell,0
NJIT,0
Jacksonville,0
American,0
Detroit Mercy,0
Sacramento St.,0
Cal Poly,0
Western Ill.,0
Austin Peay,0
Sacred Heart,0
Dartmouth,31.84
North Texas,31.69
Radford,0
UC Riverside,0
UTRGV,0
Binghamton,0
Norfolk St.,0
Abilene Christian,0
Charleston So.,0
SIUE,0
Alcorn,0
Northwestern St.,0
Incarnate Word,0
Marist,0
The Citadel,0
Central Ark.,0
Hampton,15.88
Southern Miss.,0
UC Santa Barbara,0
UMES,0
VMI,0
Northern Ariz.,0
Stetson,0
McNeese,0
Southern U.,0
Prairie View,0
Lafayette,0
Nicholls St.,0
Morgan St.,0
Idaho St.,0
Western Caro.,0
Jackson St.,0
Southern Utah,17
Hartford,0
Savannah St.,0
Maine,0
Chicago St.,0
Howard,13.33
Grambling,0
Central Conn. St.,0
South Carolina St.,0
Delaware St.,0
St. Francis Brooklyn,0
Bethune-Cookman,0
Alabama St.,0
Mississippi Val.,0
Florida A&M,0
Longwood,0
Coppin St.,0
Ark.-Pine Bluff,0
N.C. A&T,0
Presbyterian,13
Alabama A&M,0
