"team","conference","eligible","eliminated","mid_major"
"Davidson","A-10",TRUE,FALSE,TRUE
"Dayton","A-10",TRUE,TRUE,TRUE
"Duquesne","A-10",TRUE,TRUE,TRUE
"Fordham","A-10",TRUE,TRUE,TRUE
"George Mason","A-10",TRUE,TRUE,TRUE
"George Washington","A-10",TRUE,TRUE,TRUE
"La Salle","A-10",TRUE,TRUE,TRUE
"Massachusetts","A-10",TRUE,TRUE,TRUE
"Rhode Island","A-10",TRUE,FALSE,TRUE
"Richmond","A-10",TRUE,TRUE,TRUE
"Saint Joseph's","A-10",TRUE,FALSE,TRUE
"Saint Louis","A-10",TRUE,TRUE,TRUE
"St. Bonaventure","A-10",TRUE,FALSE,TRUE
"VCU","A-10",TRUE,TRUE,TRUE
"FGCU","A-Sun",TRUE,TRUE,TRUE
"Jacksonville","A-Sun",TRUE,TRUE,TRUE
"Kennesaw St.","A-Sun",TRUE,TRUE,TRUE
"Lipscomb","A-Sun",TRUE,FALSE,TRUE
"NJIT","A-Sun",TRUE,TRUE,TRUE
"North Florida","A-Sun",TRUE,TRUE,TRUE
"Stetson","A-Sun",TRUE,TRUE,TRUE
"USC Upstate","A-Sun",TRUE,TRUE,TRUE
"Cincinnati","AAC",TRUE,FALSE,FALSE
"East Carolina","AAC",TRUE,TRUE,FALSE
"Houston","AAC",TRUE,FALSE,FALSE
"Memphis","AAC",TRUE,FALSE,FALSE
"SMU","AAC",TRUE,TRUE,FALSE
"South Fla.","AAC",TRUE,TRUE,FALSE
"Temple","AAC",TRUE,TRUE,FALSE
"Tulane","AAC",TRUE,TRUE,FALSE
"Tulsa","AAC",TRUE,TRUE,FALSE
"UCF","AAC",TRUE,TRUE,FALSE
"UConn","AAC",TRUE,TRUE,FALSE
"Wichita St.","AAC",TRUE,FALSE,FALSE
"Boston College","ACC",TRUE,TRUE,FALSE
"Clemson","ACC",TRUE,TRUE,FALSE
"Duke","ACC",TRUE,TRUE,FALSE
"Florida St.","ACC",TRUE,TRUE,FALSE
"Georgia Tech","ACC",TRUE,TRUE,FALSE
"Louisville","ACC",TRUE,TRUE,FALSE
"Miami (FL)","ACC",TRUE,TRUE,FALSE
"North Carolina","ACC",TRUE,FALSE,FALSE
"North Carolina St.","ACC",TRUE,TRUE,FALSE
"Notre Dame","ACC",TRUE,TRUE,FALSE
"Pittsburgh","ACC",TRUE,TRUE,FALSE
"Syracuse","ACC",TRUE,TRUE,FALSE
"Virginia","ACC",TRUE,FALSE,FALSE
"Virginia Tech","ACC",TRUE,TRUE,FALSE
"Wake Forest","ACC",TRUE,TRUE,FALSE
"Albany (NY)","Am. East",TRUE,TRUE,TRUE
"Binghamton","Am. East",TRUE,TRUE,TRUE
"Hartford","Am. East",TRUE,TRUE,TRUE
"Maine","Am. East",TRUE,TRUE,TRUE
"New Hampshire","Am. East",TRUE,TRUE,TRUE
"Stony Brook","Am. East",TRUE,TRUE,TRUE
"UMass Lowell","Am. East",TRUE,TRUE,TRUE
"UMBC","Am. East",TRUE,FALSE,TRUE
"Vermont","Am. East",TRUE,FALSE,TRUE
"Illinois","Big 10",TRUE,TRUE,FALSE
"Indiana","Big 10",TRUE,TRUE,FALSE
"Iowa","Big 10",TRUE,TRUE,FALSE
"Maryland","Big 10",TRUE,TRUE,FALSE
"Michigan","Big 10",TRUE,FALSE,FALSE
"Michigan St.","Big 10",TRUE,TRUE,FALSE
"Minnesota","Big 10",TRUE,TRUE,FALSE
"Nebraska","Big 10",TRUE,TRUE,FALSE
"Northwestern","Big 10",TRUE,TRUE,FALSE
"Ohio St.","Big 10",TRUE,TRUE,FALSE
"Penn St.","Big 10",TRUE,TRUE,FALSE
"Purdue","Big 10",TRUE,TRUE,FALSE
"Rutgers","Big 10",TRUE,TRUE,FALSE
"Wisconsin","Big 10",TRUE,TRUE,FALSE
"Baylor","Big 12",TRUE,TRUE,FALSE
"Iowa St.","Big 12",TRUE,TRUE,FALSE
"Kansas","Big 12",TRUE,FALSE,FALSE
"Kansas St.","Big 12",TRUE,TRUE,FALSE
"Oklahoma","Big 12",TRUE,TRUE,FALSE
