"team","qual_bonus","sor","wab","wins","losses"
"A&M-Corpus Christi",-205.372,-8.56968,-7.408,16.201,9.799
"Abilene Christian",-117.261,-7.87404,-6.08866666666667,15.379,9.621
"Air Force",-175.736,-12.79708,-9.84355555555556,11.7,16.3
"Akron",-137.35,-7.47536,-5.78377777777778,16.724,9.276
"Alabama",95.264,-1.81668,3.17033333333333,20.118,10.882
"Alabama A&M",-430.6,-17.87956,-16.3892222222222,8.555,19.445
"Alabama St.",-390.874,-16.79136,-14.5937777777778,9.782,20.218
"Albany (NY)",-370.11,-15.5906,-13.9028888888889,12.215,17.785
"Alcorn",-232.527,-11.89632,-9.797,13.856,16.144
"American",-528.532,-20.68916,-19.3103333333333,7.111,21.889
"Appalachian St.",-184.821,-10.12716,-7.849,15.088,12.912
"Arizona",157.666,3.34332,7.04777777777778,28.084,1.916
"Arizona St.",-125.918,-12.7394,-8.37711111111111,9.2,19.8
"Ark.-Pine Bluff",-524.97,-21.0508,-18.8707777777778,4.485,24.515
"Arkansas",28.222,-4.5494,-0.374777777777776,19.734,11.266
"Arkansas St.",-113.224,-6.99432,-5.41555555555555,14.787,9.213
"Army West Point",-249.603,-10.41912,-9.38588888888889,15.679,11.321
"Auburn",201.464,3.51424,8.02544444444444,27.881,3.119
"Austin Peay",-301.92,-14.5044,-12.265,8.891,17.109
"Ball St.",-274.931,-14.43964,-12.4054444444444,10.293,16.707
"Baylor",238.624,3.3712,8.41355555555556,26.16,4.84
"Bellarmine",-177.166,-9.88268,-7.69044444444445,12.258,13.742
"Belmont",5.39,-3.20296,-0.816555555555555,23.768,6.232
"Bethune-Cookman",-463.312,-19.15096,-17.3904444444444,8.021,20.979
"Binghamton",-336.668,-13.12524,-11.8807777777778,10.372,14.628
"Boise St.",48.51,-3.11284,0.217000000000002,21.126,6.874
"Boston College",-167.627,-14.41468,-10.6016666666667,11.065,18.935
"Boston U.",-243.295,-9.86744,-8.62111111111111,18.945,11.055
"Bowling Green",-242.511,-12.69356,-10.659,12.133,14.867
"Bradley",-149.254,-10.70336,-7.77955555555556,13.947,14.053
"Brown",-214.067,-11.83728,-9.76522222222222,13.011,13.989
"Bryant",-195.994,-9.47644,-8.05155555555556,15.482,11.518
"Bucknell",-558.594,-21.56272,-20.079,7.092,22.908
"Buffalo",-52.505,-5.61024,-3.50933333333333,16.027,7.973
"Butler",-166.676,-11.2362,-6.50611111111111,9.833,19.167
"BYU",90.069,-1.5052,1.97566666666667,21.297,6.703
"Cal Poly",-435.349,-19.66364,-17.6611111111111,5.427,21.573
"Cal St. Fullerton",-150.212,-8.08888,-6.13666666666667,15.901,10.099
"California",-144.668,-11.5986,-7.70344444444444,13.323,17.677
"California Baptist",-179.719,-10.10556,-8.20444444444444,15.09,12.91
"Campbell",-204.586,-8.50156,-7.44966666666667,13.518,9.482
"Canisius",-425.348,-18.82588,-16.8343333333333,8.22,20.78
"Central Ark.",-319.757,-16.3004,-14.0317777777778,6.58,19.42
"Central Conn. St.",-548.888,-21.16696,-19.5525555555556,6.918,23.082
"Central Mich.",-422.542,-18.70696,-16.4031111111111,3.619,22.381
"Charleston So.",-522.997,-20.53792,-18.8838888888889,3.726,22.274
"Charlotte",-154.947,-10.892,-8.25433333333333,16.288,13.712
"Chattanooga",-44.608,-3.67836,-1.24677777777778,22.736,6.264
"Chicago St.",-422.496,-21.16212,-18.629,7.068,23.932
"Cincinnati",-2.959,-5.37444,-2.05511111111111,19.619,10.381
"Clemson",-54.926,-8.80656,-4.98011111111111,16.6,13.4
"Cleveland St.",-108.582,-6.47944,-5.14944444444445,18.054,7.946
"Coastal Carolina",-225.629,-10.04668,-8.46444444444444,13.557,11.443
"Col. of Charleston",-223.66,-11.6656,-9.38966666666667,12.997,14.003
"Colgate",-212.566,-10.48792,-8.82188888888889,16.853,12.147
"Colorado",-27.454,-6.26024,-2.85166666666667,17.284,11.716
"Colorado St.",106.856,-0.81992,2.119,20.82,4.18
"Columbia",-505.617,-18.75232,-17.5012222222222,4.176,19.824
"Coppin St.",-349.608,-16.68296,-14.6886666666667,9.849,19.151
"Cornell",-152.136,-8.4234,-6.88322222222222,11.978,10.022
"Creighton",43.856,-4.14488,-0.00911111111111198,18.61,10.39
"CSU Bakersfield",-194.518,-11.43148,-9.46177777777778,9.226,13.774
"CSUN",-319.074,-16.7948,-14.5558888888889,5.779,19.221
"Dartmouth",-323.407,-15.329,-13.5538888888889,6.996,17.004
"Davidson",44.148,-2.0902,0.639777777777776,22.891,5.109
"Dayton",-59.95,-6.68456,-3.48511111111111,20.529,10.471
"Delaware",-149.843,-9.3064,-7.27777777777778,18.744,11.256
"Delaware St.",-606.645,-21.65888,-20.4914444444444,1.265,22.735
"Denver",-332.405,-15.66476,-13.8715555555556,10.54,17.46
"DePaul",-92.924,-8.94552,-4.96288888888889,13.94,15.06
"Detroit Mercy",-257.996,-12.62556,-10.8433333333333,12.425,14.575
"Dixie St.",-224.549,-14.29536,-12.0404444444444,8.671,17.329
"Drake",-42.979,-7.04148,-4.05933333333333,18.454,10.546
"Drexel",-219.211,-11.42184,-9.50122222222222,13.79,13.21
"Duke",118.446,0.63268,4.25877777777778,23.361,4.639
"Duquesne",-251.761,-15.56252,-12.8624444444444,9.665,18.335
"East Carolina",-97.989,-10.7746,-7.78811111111111,14.435,14.565
"Eastern Ill.",-624.992,-25.33844,-23.1436666666667,1.205,27.795
"Eastern Ky.",-307.514,-13.42112,-11.9082222222222,10.91,15.09
"Eastern Mich.",-306.395,-15.58816,-13.2818888888889,9.819,18.181
"Eastern Wash.",-205.356,-11.27452,-9.37977777777778,14.463,13.537
"Elon",-332.731,-18.0846,-15.3946666666667,7.462,21.538
"ETSU",-163.258,-11.26564,-8.49922222222222,14.345,14.655
"Evansville",-291.382,-19.1748,-15.9863333333333,5.184,22.816
"Fairfield",-290.917,-13.34868,-11.599,14.965,15.035
"Fairleigh Dickinson",-481.22,-19.27144,-17.5881111111111,3.865,21.135
"FGCU",-226.523,-10.53436,-8.98822222222222,12.802,12.198
"FIU",-232.859,-12.82468,-10.8648888888889,14.254,14.746
"Fla. Atlantic",-153.916,-8.90164,-6.87144444444444,13.002,10.998
"Florida",12.656,-5.49764,-1.33844444444444,18.69,12.31
"Florida A&M",-336.141,-15.15052,-13.4005555555556,9.973,17.027
"Florida St.",19.077,-4.43268,-0.473666666666667,19.892,10.108
"Fordham",-213.754,-13.2068,-10.6415555555556,14.051,15.949
"Fresno St.",-0.922000000000002,-5.1892,-2.32711111111111,18.48,8.52
"Furman",-67.335,-6.58296,-4.05111111111111,20.673,9.327
"Ga. Southern",-278.685,-13.43004,-11.7753333333333,9.095,14.905
"Gardner-Webb",-228.997,-11.31864,-9.69655555555556,12.581,13.419
"George Mason",-145.097,-9.62696,-7.06933333333333,15.297,12.703
"George Washington",-295.729,-17.15932,-14.4028888888889,8.925,20.075
"Georgetown",-174.534,-14.61668,-10.2735555555556,8.9,21.1
"Georgia",-255.678,-17.77048,-13.6331111111111,6.635,24.365
"Georgia St.",-270.013,-13.12376,-11.4848888888889,6.239,14.761
"Georgia Tech",-148.68,-13.70452,-9.76044444444445,10.969,19.031
"Gonzaga",131.144,1.8672,4.90988888888889,24.32,2.68
"Grambling",-338.66,-15.50304,-13.3776666666667,9.335,18.665
"Grand Canyon",-57.602,-5.49892,-3.63044444444444,19.697,7.303
"Green Bay",-521.083,-19.73572,-18.1752222222222,6.564,21.436
"Hampton",-443.238,-17.25356,-15.969,5.604,18.396
"Hartford",-484.294,-18.44136,-17.0941111111111,9.322,19.678
"Harvard",-195.855,-9.3294,-8.03755555555556,12.485,10.515
"Hawaii",-95.129,-5.56744,-4.16411111111111,15.153,6.847
"High Point",-332.609,-13.32636,-11.6144444444444,9.182,15.818
"Hofstra",-101.96,-7.13136,-4.801,18.855,10.145
"Holy Cross",-592.849,-21.23308,-20.2666666666667,2.962,22.038
"Houston",148.54,1.22204,4.96022222222222,27.836,3.164
"Houston Baptist",-405.406,-15.24164,-13.9351111111111,6.068,16.932
"Howard",-218.125,-8.89096,-7.79433333333333,13.595,10.405
"Idaho",-462.954,-20.3416,-18.4933333333333,5.922,22.078
"Idaho St.",-538.884,-22.81864,-21.1821111111111,2.737,24.263
"Illinois",133.536,-1.13256,3.62677777777778,21.51,8.49
"Illinois St.",-208.937,-13.61264,-10.5855555555556,11.848,17.152
"Indiana",45.41,-3.98512,0.182333333333335,19.844,10.156
"Indiana St.",-189.602,-13.04116,-10.0996666666667,10.174,16.826
"Iona",14.924,-1.68748,0.586111111111111,26.578,4.422
"Iowa",68.573,-2.5566,1.68711111111111,21.982,9.018
"Iowa St.",88.03,-2.72988,1.94722222222222,20.105,10.895
"IUPUI",-687.894,-25.02716,-23.721,0.626,26.374
"Jackson St.",-325.527,-14.67564,-12.4385555555556,11.206,17.794
"Jacksonville",-187.278,-10.40644,-8.89522222222222,12.137,11.863
"Jacksonville St.",-96.117,-6.81572,-5.07222222222222,18.153,8.847
"James Madison",-178.103,-9.34752,-7.46044444444445,15.886,11.114
"Kansas",217.856,2.68248,7.897,25.423,5.577
"Kansas City",-261.053,-12.33836,-10.5778888888889,11.677,14.323
"Kansas St.",-18.212,-7.10944,-2.31522222222222,14.462,15.538
"Kennesaw St.",-187.164,-11.14312,-9.21033333333333,10.537,13.463
"Kent St.",-217.272,-11.67376,-9.45111111111111,12.748,14.252
"Kentucky",125.308,0.675600000000002,4.87577777777778,23.885,7.115
"La Salle",-265.649,-15.84312,-13.319,9.364,18.636
"Lafayette",-409.603,-15.81812,-14.4083333333333,9.374,17.626
"Lamar University",-530.291,-23.10776,-20.9034444444444,1.371,25.629
"Lehigh",-440.222,-17.21104,-15.757,10.391,18.609
"Liberty",-78.58,-5.62968,-3.957,19.27,7.73
"Lipscomb",-288.881,-14.32096,-12.2053333333333,9.833,17.167
"Little Rock",-269.615,-14.7834,-12.8083333333333,6.091,16.909
"LIU",-228.396,-11.55476,-9.96544444444444,13.378,13.622
"LMU (CA)",-127.596,-10.26216,-7.38511111111111,11.669,14.331
"Long Beach St.",-179.049,-11.511,-8.88044444444444,11.883,15.117
"Longwood",-132.687,-6.52924,-5.37866666666666,17.161,7.839
"Louisiana",-180.069,-9.0642,-7.37088888888889,13.602,11.398
"Louisiana Tech",-13.355,-4.19132,-1.63333333333334,19.435,7.565
"Louisville",-67.796,-11.03664,-6.84511111111111,13.708,16.292
"Loyola Chicago",45.238,-1.74436,1.28855555555555,22.56,5.44
"Loyola Maryland",-248.934,-10.06688,-8.90211111111111,15.747,11.253
"LSU",153.298,1.10476,5.54544444444444,24.714,6.286
"Maine",-560.462,-21.17372,-19.5314444444444,3.073,22.927
"Manhattan",-259.149,-12.5882,-10.911,12.841,14.159
"Marist",-304.178,-11.98792,-10.4575555555556,15.616,13.384
"Marquette",87.28,-3.0472,1.63066666666667,19.796,10.204
"Marshall",-273.423,-16.21632,-13.5138888888889,8.945,19.055
"Maryland",-59.346,-9.55984,-4.89933333333333,14.34,16.66
"Massachusetts",-232.309,-14.2766,-11.3702222222222,12.651,17.349
"McNeese",-346.972,-14.96072,-13.0101111111111,9.326,17.674
"Memphis",-9.398,-7.46128,-3.76833333333333,15.589,12.411
"Mercer",-183.877,-12.1596,-9.618,14.15,14.85
"Merrimack",-404.072,-15.68308,-14.19,10.927,18.073
"Miami (FL)",27.362,-4.75616,-0.584777777777777,20.925,10.075
"Miami (OH)",-175.267,-10.56316,-8.51255555555555,13.384,12.616
"Michigan",29.886,-5.08468,-0.690333333333333,15.501,12.499
"Michigan St.",130.762,-0.67048,4.08311111111111,21.77,8.23
"Middle Tenn.",-104.467,-8.93836,-6.49255555555555,17.353,11.647
"Milwaukee",-443.486,-17.48484,-15.9576666666667,10.973,19.027
"Minnesota",-30.056,-6.39824,-2.13255555555556,15.341,12.659
"Mississippi St.",-27.414,-5.47588,-1.56611111111111,18.045,11.955
"Mississippi Val.",-612.614,-23.71604,-21.9728888888889,2.422,25.578
"Missouri",-145.782,-11.75536,-7.26366666666667,9.494,19.506
"Missouri St.",-46.593,-5.23276,-2.41477777777778,21.621,8.379
"Monmouth",-108.884,-7.02444,-4.76566666666667,21.747,9.253
"Montana",-144.078,-7.96096,-6.35977777777778,16.299,9.701
"Montana St.",-113.971,-7.14632,-5.63733333333333,18.438,8.562
"Morehead St.",-65.939,-5.69396,-3.46211111111111,18.836,9.164
"Morgan St.",-352.503,-13.49368,-12.4421111111111,6.409,14.591
"Mount St. Mary's",-291.733,-11.6016,-10.212,13.019,13.981
"Murray St.",26.816,-0.86884,0.911333333333333,23.785,3.215
"N.C. A&T",-309.945,-14.48228,-12.6416666666667,10.595,16.405
"N.C. Central",-227.153,-11.13868,-9.79533333333333,10.269,12.731
"Navy",-142.942,-7.635,-6.06277777777778,18.846,9.154
"NC State",-104.995,-11.362,-7.34988888888889,14.17,16.83
"Nebraska",-245.73,-15.1602,-10.696,7.999,22.001
"Nevada",-75.511,-9.91824,-6.414,11.403,14.597
"New Hampshire",-261.858,-10.84448,-9.52355555555556,12.689,12.311
"New Mexico",-138.859,-13.78532,-10.3945555555556,10.234,17.766
"New Mexico St.",-37.743,-4.0408,-1.60522222222222,20.518,6.482
"New Orleans",-210.016,-10.24716,-8.90433333333333,11.323,11.677
"Niagara",-334.561,-14.03332,-12.1247777777778,10.676,16.324
"Nicholls St.",-214.997,-9.03016,-7.42888888888889,15.091,11.909
"NJIT",-375.558,-15.0258,-13.569,10.47,16.53
"Norfolk St.",-103.62,-4.85708,-3.82777777777778,17.86,6.14
"North Ala.",-287.137,-13.78392,-11.9904444444444,8.12,16.88
"North Carolina",-7.153,-4.38576,-0.339888888888887,20.388,10.612
"North Dakota",-584.324,-22.03976,-20.4106666666667,4.363,23.637
"North Dakota St.",-172.76,-8.80132,-7.10855555555555,15.755,11.245
"North Florida",-373.921,-18.62592,-15.9138888888889,4.226,22.774
"North Texas",-2.422,-3.67256,-1.052,19.18,6.82
"Northeastern",-381.27,-17.9216,-15.8124444444444,9.1,19.9
"Northern Ariz.",-382.44,-16.7878,-15.2584444444444,8.445,19.555
"Northern Colo.",-165.606,-8.10584,-6.09377777777778,17.768,11.232
"Northern Ill.",-122,-6.28544,-4.97811111111111,4,8
"Northern Ky.",-348.361,-14.27756,-12.8947777777778,11.313,15.687
"Northwestern",-70.81,-8.09904,-4.09477777777778,13.324,14.676
"Northwestern St.",-499.66,-19.13644,-17.1314444444444,4.98,23.02
"Notre Dame",-1.22699999999999,-5.646,-1.73433333333333,18.976,11.024
"Oakland",-60.846,-4.41728,-2.42066666666667,22.078,6.922
"Ohio",-17.826,-3.10596,-1.16811111111111,20.962,6.038
"Ohio St.",90.984,-2.45928,2.02711111111111,18.681,9.319
"Oklahoma",0.695999999999998,-5.1416,-0.315333333333335,17.298,13.702
"Oklahoma St.",-13.656,-6.4238,-1.52466666666667,14.832,15.168
"Old Dominion",-261.316,-15.46288,-12.9651111111111,11.059,17.941
"Ole Miss",-139.58,-10.38384,-6.34822222222222,13.818,17.182
"Omaha",-525.973,-21.85032,-19.7185555555556,3.177,24.823
