"team","conf","yusag_coeff","sor","wab","qual_bonus","yusag_rank","sor_rank","resume_rank","wab_rank","blend","avg","odds","seed_avg","n_brackets","pct_brackets","bm_odds","delta","bm_weight"
"Northern Ky.","Horizon",0.245260626516909,-9.37792,-7.666,-187,163,138,171,145,160.8,154.25,0,NA,NA,NA,NA,NA,1
"Notre Dame","ACC",0.199728947242397,-16.11572,-13.3011111111111,-245,164,278,211,256,214.925,227.25,0,NA,NA,NA,NA,NA,1
"Louisiana Tech","C-USA",0.167755430469726,-13.80092,-11.2891111111111,-166,165,229,152,212,174.3,189.5,0,NA,NA,NA,NA,NA,1
"Boston College","ACC",-0.116964687713209,-11.60552,-8.50277777777778,-138,166,175,128,159,148.425,157,0,NA,NA,NA,NA,NA,1
"Ball St.","MAC",-0.154272424402703,-9.49084,-7.73611111111111,-163,167,140,148,148,151.55,150.75,0,NA,NA,NA,NA,NA,1
"South Dakota St.","Summit",-0.162971781233431,-9.05008,-7.15322222222222,-146,168,131,133,134,141.575,141.5,0,NA,NA,NA,NA,NA,1
"Old Dominion","Sunbelt",-0.401626390335451,-9.25328,-7.31,-157,169,134,140,137,145.975,145,0,NA,NA,NA,NA,NA,1
"Longwood","Big South",-0.434297509159427,-9.9696,-8.87888888888889,-232,170,149,201,164,180.825,171,0,NA,NA,NA,NA,NA,1
"Weber St.","Big Sky",-0.472350955948875,-11.78136,-9.657,-174,171,180,163,179,169.55,173.25,0,NA,NA,NA,NA,NA,1
"Brown","Ivy",-0.509639642647373,-10.1512,-8.41644444444444,-139,172,152,130,155,146.925,152.25,0,NA,NA,NA,NA,NA,1
"Eastern Ky.","A-Sun",-0.515204225649067,-9.65264,-7.83833333333333,-196,173,142,176,149,166.775,160,0,NA,NA,NA,NA,NA,1
"UNCW","CAA",-0.598255906596544,-6.39968,-4.465,-80,174,87,93,98,112.975,113,0,NA,NA,NA,NA,NA,1
"Western Ky.","C-USA",-0.629657476605925,-12.10412,-9.70677777777778,-159,175,189,142,180,162.05,171.5,0,NA,NA,NA,NA,NA,1
"Pacific","WCC",-0.632800655581024,-12.78484,-10.288,-223,176,200,194,190,189.9,190,0,NA,NA,NA,NA,NA,1
"App State","Sunbelt",-0.709753881431293,-13.39236,-11.5244444444444,-258,177,220,217,220,207.825,208.5,0,NA,NA,NA,NA,NA,1
"East Carolina","AAC",-0.710157831467529,-12.17236,-9.60322222222222,-157,178,190,141,177,162.1,171.5,0,NA,NA,NA,NA,NA,1
"SMU","AAC",-0.724009026571041,-15.22596,-11.9711111111111,-179,179,261,167,231,192.1,209.5,0,NA,NA,NA,NA,NA,1
"Cleveland St.","Horizon",-0.751604422076283,-9.86904,-8.33833333333333,-168,180,147,153,154,158.975,158.5,0,NA,NA,NA,NA,NA,1
"Saint Joseph's","A-10",-0.764328392438113,-13.73956,-11.707,-219,181,226,192,226,198.6,206.25,0,NA,NA,NA,NA,NA,1
"Wright St.","Horizon",-0.77845991428473,-13.33628,-12.0082222222222,-288,182,219,236,232,219.45,217.25,0,NA,NA,NA,NA,NA,1
"Oregon St.","Pac 12",-0.799937861684256,-13.57252,-10.0726666666667,-204,183,224,181,187,188.7,193.75,0,NA,NA,NA,NA,NA,1
"N.C. Central","MEAC",-0.84685487921452,-9.69496,-8.42055555555556,-173,184,144,161,156,163.575,161.25,0,NA,NA,NA,NA,NA,1
"UTEP","C-USA",-0.855312842364372,-13.88964,-11.6224444444444,-215,185,230,189,221,198.15,206.25,0,NA,NA,NA,NA,NA,1
"Stetson","A-Sun",-0.87861647656995,-10.25824,-8.49688888888889,-197,186,156,178,158,174.2,169.5,0,NA,NA,NA,NA,NA,1
"New Mexico St.","WAC",-0.978943390924463,-11.85392,-9.96611111111111,-169,187,184,156,185,171.575,178,0,NA,NA,NA,NA,NA,1
"Radford","Big South",-1.01043221381797,-11.38288,-9.92266666666667,-265,188,173,223,183,201.75,191.75,0,NA,NA,NA,NA,NA,1
"A&M-Corpus Christi","Southland",-1.12035584877967,-7.8948,-6.87444444444444,-169,189,110,154,130,153.15,145.75,0,NA,NA,NA,NA,NA,1
"Abilene Christian","WAC",-1.14884997328427,-13.4684,-11.3946666666667,-202,190,222,180,214,193.05,201.5,0,NA,NA,NA,NA,NA,1
"Norfolk St.","MEAC",-1.16157579121531,-7.21236,-6.07077777777778,-155.048,191,97,139,119,143.2,136.5,0,NA,NA,NA,NA,NA,1
"Chattanooga","Southern",-1.17942883820512,-14.51264,-12.71,-267,192,242,225,244,221.675,225.75,0,NA,NA,NA,NA,NA,1
"Pepperdine","WCC",-1.18630052259643,-16.66824,-13.9874444444444,-244,193,284,209,269,223.75,238.75,0,NA,NA,NA,NA,NA,1
"Texas St.","Sunbelt",-1.19712146894393,-14.8818,-12.6801111111111,-281,194,255,232,242,227.2,230.75,0,NA,NA,NA,NA,NA,1
"Navy","Patriot",-1.36880314572519,-11.0356,-9.82033333333333,-284,195,167,235,182,208.175,194.75,0,NA,NA,NA,NA,NA,1
"Quinnipiac","MAAC",-1.45109706522397,-10.06412,-8.71277777777778,-284,196,151,234,161,202.925,185.5,0,NA,NA,NA,NA,NA,1
"Grambling","SWAC",-1.58531321740163,-6.16552,-4.87433333333333,-123.349,197,81,122,104,132.35,126,0,15.99,104,0.962962962962963,0,0,0.5
"St. Thomas (MN)","Summit",-1.61778595666291,-11.03232,-9.333,-221,198,166,193,171,187.45,182,0,NA,NA,NA,NA,NA,1
"Minnesota","Big 10",-1.62860048156496,-14.5222,-10.8185555555556,-171,199,243,158,198,186,199.5,0,NA,NA,NA,NA,NA,1
"Detroit Mercy","Horizon",-1.66489044365211,-16.06636,-14.2405555555556,-328,200,276,260,275,249.275,252.75,0,NA,NA,NA,NA,NA,1
"St. Bonaventure","A-10",-1.68181310978241,-15.41176,-13.4971111111111,-325,201,263,258,259,244.625,245.25,0,NA,NA,NA,NA,NA,1
"Drexel","CAA",-1.86330686329112,-13.07016,-11.6916666666667,-291,202,205,238,225,222.425,217.5,0,NA,NA,NA,NA,NA,1
"Florida St.","ACC",-1.88223382660137,-17.04832,-13.7236666666667,-215,203,289,190,265,217.475,236.75,0,NA,NA,NA,NA,NA,1
"Northern Ariz.","Big Sky",-1.89814347088247,-18.98504,-16.5446666666667,-368,204,324,280,310,271.35,279.5,0,NA,NA,NA,NA,NA,1
"FGCU","A-Sun",-2.03997620255975,-11.77968,-10.1533333333333,-282,205,179,233,188,212.275,201.25,0,NA,NA,NA,NA,NA,1
"Ga. Southern","Sunbelt",-2.04076393751561,-13.31856,-11.4428888888889,-270,206,217,228,215,219.225,216.5,0,NA,NA,NA,NA,NA,1
"Gardner-Webb","Big South",-2.19577148231328,-14.05928,-12.6662222222222,-317,207,235,251,241,236.35,233.5,0,NA,NA,NA,NA,NA,1
"Rider","MAAC",-2.25000244883048,-11.81224,-10.4886666666667,-290,208,182,237,195,216.25,205.5,0,NA,NA,NA,NA,NA,1
"Howard","MEAC",-2.27773888648176,-10.22892,-8.78722222222222,-207.792,209,154,183,163,182.65,177.25,0,16,92,0.851851851851852,0,0,0.5
"Buffalo","MAC",-2.30621913217492,-12.76796,-10.5165555555556,-210,210,199,185,196,194.725,197.5,0,NA,NA,NA,NA,NA,1
"Rice","C-USA",-2.31985519664477,-10.833,-8.56955555555556,-165,211,164,150,160,168.6,171.25,0,NA,NA,NA,NA,NA,1
"Massachusetts","A-10",-2.32662478626092,-13.10988,-11.0402222222222,-226,212,208,199,203,204.1,205.5,0,NA,NA,NA,NA,NA,1
"Queens (NC)","A-Sun",-2.33363176858852,-12.79452,-11.1914444444444,-262,213,202,221,208,214.525,211,0,NA,NA,NA,NA,NA,1
"Bryant","Am. East",-2.36070298482175,-10.62144,-9.15077777777778,-231,214,160,200,168,193.5,185.5,0,NA,NA,NA,NA,NA,1
"UNI","MVC",-2.36683259346431,-15.10964,-13.0735555555556,-244,215,260,208,251,222.925,233.5,0,NA,NA,NA,NA,NA,1
"North Dakota St.","Summit",-2.38334845790102,-13.15868,-11.1845555555556,-268,216,210,226,207,218.725,214.75,0,NA,NA,NA,NA,NA,1
"Northern Colo.","Big Sky",-2.42691549643623,-14.94832,-12.8727777777778,-252,217,257,216,248,226.4,234.5,0,NA,NA,NA,NA,NA,1
"FIU","C-USA",-2.44282972743641,-14.35248,-12.1517777777778,-262,218,238,222,234,224.9,228,0,NA,NA,NA,NA,NA,1
"Siena","MAAC",-2.53071001887034,-13.1664,-11.7915555555556,-366,219,211,276,227,245.875,233.25,0,NA,NA,NA,NA,NA,1
"South Carolina","SEC",-2.53136160912503,-14.20208,-10.8594444444444,-199,220,236,179,201,200.55,209,0,NA,NA,NA,NA,NA,1
"Georgetown","Big East",-2.55409422639202,-17.219,-13.6532222222222,-318,221,293,254,262,252.6,257.5,0,NA,NA,NA,NA,NA,1
"San Diego","WCC",-2.66391340619465,-15.54636,-13.1763333333333,-259,222,265,220,252,231.25,239.75,0,NA,NA,NA,NA,NA,1
"George Washington","A-10",-2.69392734041534,-13.60052,-11.7922222222222,-245,223,225,210,228,217.75,221.5,0,NA,NA,NA,NA,NA,1
"Sacramento St.","Big Sky",-2.80713790663979,-14.83744,-12.9384444444444,-246,224,253,212,249,225.775,234.5,0,NA,NA,NA,NA,NA,1
"La Salle","A-10",-3.09413308147866,-15.68224,-13.5116666666667,-313,225,266,249,260,246.925,250,0,NA,NA,NA,NA,NA,1
"Northwestern St.","Southland",-3.11527278762902,-8.06788,-6.71511111111111,-184,226,116,168,127,169.575,159.25,0,NA,NA,NA,NA,NA,1
"Murray St.","MVC",-3.72818126388364,-11.73396,-9.58455555555556,-169,227,176,155,175,178.65,183.25,0,NA,NA,NA,NA,NA,1
"Wofford","Southern",-3.8063728103623,-13.21136,-11.4502222222222,-267,228,212,224,216,222.2,220,0,NA,NA,NA,NA,NA,1
"Mercer","Southern",-3.81801225322822,-16.983,-15.4254444444444,-325,229,288,259,296,260.475,268,0,NA,NA,NA,NA,NA,1
"Campbell","Big South",-3.84748329376576,-16.15148,-14.7634444444444,-402,230,280,296,283,275.475,272.25,0,NA,NA,NA,NA,NA,1
"Portland St.","Big Sky",-3.88101158942254,-15.81376,-13.825,-320,231,269,256,267,253.075,255.75,0,NA,NA,NA,NA,NA,1
"Milwaukee","Horizon",-3.88948714854305,-8.5294,-7.16888888888889,-155,232,124,138,135,159.025,157.25,0,NA,NA,NA,NA,NA,1
"UT Arlington","WAC",-3.94734181932368,-17.31556,-14.8615555555556,-258,233,295,218,284,241.55,257.5,0,NA,NA,NA,NA,NA,1
"Robert Morris","Horizon",-4.2091893308296,-14.83104,-13.3232222222222,-311,234,252,247,257,245.75,247.5,0,NA,NA,NA,NA,NA,1
"Purdue Fort Wayne","Horizon",-4.38852496914875,-12.72772,-11.2264444444444,-276,235,197,230,210,223.8,218,0,NA,NA,NA,NA,NA,1
"NIU","MAC",-4.43284467007218,-14.47724,-12.5125555555556,-281,236,241,231,239,234.75,236.75,0,NA,NA,NA,NA,NA,1
"California","Pac 12",-4.4774461612975,-21.13452,-17.4035555555556,-367,237,348,278,328,284.5,297.75,0,NA,NA,NA,NA,NA,1
"Idaho St.","Big Sky",-4.56189349702526,-18.3372,-16.501,-380,238,315,286,309,281.225,287,0,NA,NA,NA,NA,NA,1
"Western Caro.","Southern",-4.57091480573376,-12.66972,-11.0858888888889,-251,239,195,215,205,216.75,213.5,0,NA,NA,NA,NA,NA,1
"Jacksonville St.","A-Sun",-4.57604855545209,-14.74416,-13.0698888888889,-318,240,248,253,250,248.625,247.75,0,NA,NA,NA,NA,NA,1
"North Florida","A-Sun",-4.64670742551044,-13.2316,-11.5227777777778,-274,241,213,229,219,228.35,225.5,0,NA,NA,NA,NA,NA,1
"Jacksonville","A-Sun",-4.72837613180244,-13.44764,-11.8597777777778,-301,242,221,241,229,236.75,233.25,0,NA,NA,NA,NA,NA,1
"ETSU","Southern",-4.83196542013438,-18.17104,-16.7558888888889,-435,243,313,318,315,298.125,297.25,0,NA,NA,NA,NA,NA,1
"Delaware","CAA",-4.90888174142076,-13.25768,-11.4635555555556,-238,244,215,206,217,218.225,220.5,0,NA,NA,NA,NA,NA,1
"UMBC","Am. East",-5.00472171985862,-12.0944,-10.8353333333333,-243,245,187,207,199,212.5,209.5,0,NA,NA,NA,NA,NA,1
"UMES","MEAC",-5.0089765352836,-10.5088,-9.045,-206,246,159,182,166,192.55,188.25,0,NA,NA,NA,NA,NA,1
"Rhode Island","A-10",-5.03644578625332,-19.23372,-17.2706666666667,-400,247,330,295,322,291.625,298.5,0,NA,NA,NA,NA,NA,1
"UTRGV","WAC",-5.0521691802437,-13.54204,-11.6394444444444,-223,248,223,195,222,215.825,222,0,NA,NA,NA,NA,NA,1
"Winthrop","Big South",-5.08440408363251,-14.45052,-12.8114444444444,-311,249,240,246,246,245.85,245.25,0,NA,NA,NA,NA,NA,1
"SIUE","OVC",-5.1043854799039,-12.52732,-11.4733333333333,-363,250,193,272,218,247.9,233.25,0,NA,NA,NA,NA,NA,1
"Loyola Chicago","A-10",-5.19938966228556,-17.5894,-15.3453333333333,-317,251,300,252,292,263.95,273.75,0,NA,NA,NA,NA,NA,1
"UC San Diego","Big West",-5.38547870220868,-17.09376,-15.2337777777778,-303,252,290,243,291,258.3,269,0,NA,NA,NA,NA,NA,1
"Army West Point","Patriot",-5.41137393313952,-14.759,-13.7555555555556,-384,253,249,287,266,270.175,263.75,0,NA,NA,NA,NA,NA,1
"Niagara","MAAC",-5.48003522599495,-12.78908,-11.364,-330,254,201,261,213,244.25,232.25,0,NA,NA,NA,NA,NA,1
"USC Upstate","Big South",-5.5373455617407,-12.70652,-11.2008888888889,-247,255,196,213,209,220.45,218.25,0,NA,NA,NA,NA,NA,1
"Canisius","MAAC",-5.5921884884642,-17.79868,-16.2978888888889,-442,256,304,319,305,299.25,296,0,NA,NA,NA,NA,NA,1
"Morehead St.","OVC",-5.6365675554971,-8.71616,-7.506,-214,257,129,188,141,190.525,178.75,0,NA,NA,NA,NA,NA,1
"Fairfield","MAAC",-5.68900262207103,-15.71284,-14.2953333333333,-414,258,267,303,276,282.975,276,0,NA,NA,NA,NA,NA,1
"Dartmouth","Ivy",-5.72515665802182,-15.78868,-14.1928888888889,-333,259,268,262,274,263.65,265.75,0,NA,NA,NA,NA,NA,1
"Southeast Mo. St.","OVC",-5.77265057405422,-13.97936,-12.7036666666667,-366,260,233,277,243,261.9,253.25,0,NA,NA,NA,NA,NA,1
"Bellarmine","A-Sun",-5.83186373208342,-13.89708,-11.9106666666667,-298,261,231,240,230,242.65,240.5,0,NA,NA,NA,NA,NA,1
"North Dakota","Summit",-5.85222608003569,-16.88288,-15.1843333333333,-395,262,286,292,288,283.1,282,0,NA,NA,NA,NA,NA,1
"Western Ill.","Summit",-5.93289936729785,-12.0814,-10.7916666666667,-259,263,186,219,197,222.3,216.25,0,NA,NA,NA,NA,NA,1
"North Ala.","A-Sun",-5.95446163815601,-11.3054,-9.60933333333333,-219,264,171,191,178,204.625,201,0,NA,NA,NA,NA,NA,1
"Miami (OH)","MAC",-6.16213863827957,-17.18548,-15.364,-365,265,291,275,293,277.15,281,0,NA,NA,NA,NA,NA,1
"Lafayette","Patriot",-6.27479081587252,-20.27344,-18.4543333333333,-475,266,342,330,338,316.8,319,0,NA,NA,NA,NA,NA,1
"Oakland","Horizon",-6.35113227504149,-15.92836,-13.996,-293,267,273,239,270,254.975,262.25,0,NA,NA,NA,NA,NA,1
"Alcorn","SWAC",-6.51251711656799,-10.05984,-8.44366666666667,-197,268,150,177,157,193.2,188,0,NA,NA,NA,NA,NA,1
"Southeastern La.","Southland",-6.60761478217627,-11.74596,-10.4131111111111,-269,269,177,227,194,225.875,216.75,0,NA,NA,NA,NA,NA,1
"Boston U.","Patriot",-6.63393511403444,-15.0396,-13.8763333333333,-375,270,258,285,268,275.075,270.25,0,NA,NA,NA,NA,NA,1
"Louisville","ACC",-6.66199113614207,-21.86436,-18.5414444444444,-402,271,352,297,340,304.125,315,0,NA,NA,NA,NA,NA,1
"Cal Poly","Big West",-6.66756142023145,-21.89212,-19.7044444444444,-415,272,353,304,349,308.975,319.5,0,NA,NA,NA,NA,NA,1
"Nicholls","Southland",-6.73609680211782,-11.83532,-10.4092222222222,-225,273,183,198,193,213.875,211.75,0,NA,NA,NA,NA,NA,1
"UT Martin","OVC",-6.77154058145131,-12.64388,-11.644,-341,274,194,268,223,252.775,239.75,0,NA,NA,NA,NA,NA,1
"Illinois St.","MVC",-6.78021254973191,-18.70924,-17.0726666666667,-429,275,318,313,319,305,306.25,0,NA,NA,NA,NA,NA,1
"Southern U.","SWAC",-6.7919952056495,-13.77576,-12.3821111111111,-338,276,228,267,237,259.65,252,0,NA,NA,NA,NA,NA,1
"Prairie View","SWAC",-6.8446228350873,-16.31,-14.8705555555556,-430,277,282,314,285,296.325,289.5,0,NA,NA,NA,NA,NA,1
"Arkansas St.","Sunbelt",-6.91824235254365,-17.72076,-16.0108888888889,-333,278,302,263,302,277.475,286.25,0,NA,NA,NA,NA,NA,1
"ULM","Sunbelt",-6.94061053109386,-17.35988,-15.2172222222222,-336,279,296,264,289,275.675,282,0,NA,NA,NA,NA,NA,1
"Idaho","Big Sky",-6.94672955368168,-20.17144,-18.708,-484,280,341,333,343,322.2,324.25,0,NA,NA,NA,NA,NA,1
"Marist","MAAC",-6.96574176971292,-18.29236,-17.0496666666667,-496.72,281,314,340,318,318.6,313.25,0,NA,NA,NA,NA,NA,1
"Southern Ind.","OVC",-6.98970798153718,-14.64756,-13.6517777777778,-422,282,245,309,261,286.65,274.25,0,NA,NA,NA,NA,NA,1
"Georgia St.","Sunbelt",-7.00210248131974,-18.54224,-16.8995555555556,-403,283,317,298,317,299.475,303.75,0,NA,NA,NA,NA,NA,1
"CSU Bakersfield","Big West",-7.00960747591217,-19.15796,-17.1331111111111,-337,284,328,265,320,286.075,299.25,0,NA,NA,NA,NA,NA,1
"Mount St. Mary's","MAAC",-7.01446949024421,-17.29116,-15.6752222222222,-457,285,294,325,297,306.85,300.25,0,NA,NA,NA,NA,NA,1
"American","Patriot",-7.17128001363796,-13.75544,-12.7318888888889,-418,286,227,307,245,282,266.25,0,NA,NA,NA,NA,NA,1
"Maine","Am. East",-7.27007901921512,-14.77056,-13.234,-303,287,250,242,254,255.95,258.25,0,NA,NA,NA,NA,NA,1
"Bowling Green","MAC",-7.40434026682668,-17.91708,-16.3921111111111,-413,288,308,302,306,299.9,301,0,NA,NA,NA,NA,NA,1
"New Hampshire","Am. East",-7.46656345510744,-13.3294,-12.0646666666667,-304,289,218,244,233,249.975,246,0,NA,NA,NA,NA,NA,1
"Lehigh","Patriot",-7.47192302948225,-12.27608,-11.0627777777778,-305,290,191,245,204,243.025,232.5,0,NA,NA,NA,NA,NA,1
"Tennessee Tech","OVC",-7.47762229272684,-14.88244,-13.713,-399,291,256,293,264,283.325,276,0,NA,NA,NA,NA,NA,1
"UTSA","C-USA",-7.49942954615392,-18.02484,-15.688,-364,292,309,273,298,286.275,293,0,NA,NA,NA,NA,NA,1
"Tennessee St.","OVC",-7.51050479398739,-13.079,-12.339,-394,293,206,291,236,271.875,256.5,0,NA,NA,NA,NA,NA,1
"Valparaiso","MVC",-7.5932398555796,-18.15284,-16.2034444444444,-345,294,312,271,303,286.9,295,0,NA,NA,NA,NA,NA,1
"Chicago St.","Independent",-7.93767254326256,-16.12208,-14.1851111111111,-320,295,279,257,273,271.8,276,0,NA,NA,NA,NA,NA,1
"Charleston So.","Big South",-7.94307924630627,-18.89464,-17.4377777777778,-459,296,321,326,329,318.125,318,0,NA,NA,NA,NA,NA,1
"Denver","Summit",-7.9951339200253,-14.6982,-13.4844444444444,-371,297,247,282,258,277.5,271,0,NA,NA,NA,NA,NA,1
"Coastal Carolina","Sunbelt",-8.08642587422891,-17.62164,-15.9454444444444,-425,298,301,311,301,305,302.75,0,NA,NA,NA,NA,NA,1
"South Dakota","Summit",-8.22211708941565,-16.28092,-14.5465555555556,-391,299,281,290,279,289.525,287.25,0,NA,NA,NA,NA,NA,1
"UIC","MVC",-8.2657067494955,-17.21552,-15.396,-318,300,292,255,295,276.8,285.5,0,NA,NA,NA,NA,NA,1
"Texas Southern","SWAC",-8.32902290738894,-16.89264,-15.2205555555556,-417.446,301,287,306,290,299.9,296,0,NA,NA,NA,NA,NA,1
"Binghamton","Am. East",-8.39698862051525,-15.98028,-14.609,-368,302,274,279,280,284.125,283.75,0,NA,NA,NA,NA,NA,1
"Saint Peter's","MAAC",-8.58047730710606,-15.82276,-14.4518888888889,-404,303,270,299,278,293.025,287.5,0,NA,NA,NA,NA,NA,1
"Manhattan","MAAC",-8.65061312628836,-15.99316,-14.7051111111111,-451,304,275,323,282,305.925,296,0,NA,NA,NA,NA,NA,1
"Kansas City","Summit",-8.7969812277229,-16.78468,-15.0038888888889,-399,305,285,294,287,294.525,292.75,0,NA,NA,NA,NA,NA,1
"Alabama A&M","SWAC",-8.80904502089941,-16.08412,-14.9451111111111,-420,306,277,308,286,300.1,294.25,0,NA,NA,NA,NA,NA,1
"Jackson St.","SWAC",-8.81500938134791,-15.065,-13.2787777777778,-341,307,259,269,255,275.25,272.5,0,NA,NA,NA,NA,NA,1
"Bucknell","Patriot",-8.91040267656138,-18.38936,-17.2795555555556,-497,308,316,341,323,326.75,322,0,NA,NA,NA,NA,NA,1
"High Point","Big South",-9.09396035169003,-15.37164,-14.1274444444444,-373,309,262,284,272,285.45,281.75,0,NA,NA,NA,NA,NA,1
"Tex. A&M-Commerce","Southland",-9.09754991688402,-17.89944,-16.6361111111111,-442,310,307,320,311,314.425,312,0,NA,NA,NA,NA,NA,1
"Western Mich.","MAC",-9.22282984759245,-19.95232,-18.1348888888889,-463,311,337,327,336,325.625,327.75,0,NA,NA,NA,NA,NA,1
"Omaha","Summit",-9.36304341350027,-18.95488,-16.8743333333333,-424,312,323,310,316,313.2,315.25,0,NA,NA,NA,NA,NA,1
"CSUN","Big West",-9.38841371616678,-22.23604,-20.3392222222222,-477,313,354,332,353,333.175,338,0,NA,NA,NA,NA,NA,1
"Tulsa","AAC",-9.46313576203359,-19.89436,-17.2507777777778,-342,314,335,270,321,297.125,310,0,NA,NA,NA,NA,NA,1
"Merrimack","NEC",-9.50945217688586,-14.04964,-12.8161111111111,-312,315,234,248,247,262.525,261,0,NA,NA,NA,NA,NA,1
"Northeastern","CAA",-9.55913037807165,-17.49496,-15.8384444444444,-389,316,299,289,300,298.625,301,0,NA,NA,NA,NA,NA,1
"Fairleigh Dickinson","NEC",-9.64455008219138,-13.97656,-13.215,-372,317,232,283,253,280.1,271.25,0,16,107,0.990740740740741,0,0,0.5
"Eastern Mich.","MAC",-9.82047884687251,-20.13356,-18.1891111111111,-463,318,339,328,337,328.275,330.5,0,NA,NA,NA,NA,NA,1
"Morgan St.","MEAC",-9.86785966168133,-13.1144,-11.6734444444444,-316,319,209,250,224,257.85,250.5,0,NA,NA,NA,NA,NA,1
"N.C. A&T","CAA",-10.0563693922842,-15.899,-14.426,-370,320,272,281,277,288.9,287.5,0,NA,NA,NA,NA,NA,1
"Little Rock","OVC",-10.2019271132169,-19.01436,-17.8458888888889,-552,321,326,352,335,338.225,333.5,0,NA,NA,NA,NA,NA,1
"William & Mary","CAA",-10.3794632993597,-17.47312,-15.829,-431,322,298,316,299,312.675,308.75,0,NA,NA,NA,NA,NA,1
"Loyola Maryland","Patriot",-10.4373012308027,-18.03628,-16.7213333333333,-477,323,310,331,314,323.725,319.5,0,NA,NA,NA,NA,NA,1
"NJIT","Am. East",-10.6552252059982,-21.11928,-19.7942222222222,-534,324,347,349,350,342.575,342.5,0,NA,NA,NA,NA,NA,1
"Wagner","NEC",-10.6747066333889,-11.95728,-11.2321111111111,-338,325,185,266,211,261.725,246.75,0,NA,NA,NA,NA,NA,1
"Stony Brook","CAA",-10.7869429569223,-19.12212,-17.3942222222222,-427,326,327,312,327,319.625,323,0,NA,NA,NA,NA,NA,1
"Ark.-Pine Bluff","SWAC",-10.8755396209719,-17.7798,-16.2804444444444,-450,327,303,322,304,318.15,314,0,NA,NA,NA,NA,NA,1
"The Citadel","Southern",-10.9651315223848,-19.40592,-17.6715555555556,-430,328,332,315,332,322.925,326.75,0,NA,NA,NA,NA,NA,1
"Austin Peay","A-Sun",-11.0640738202447,-18.90168,-17.387,-469,329,322,329,326,327.575,326.5,0,NA,NA,NA,NA,NA,1
"Central Mich.","MAC",-11.3566953952869,-18.12656,-16.4235555555556,-405,330,311,301,307,310.5,312.25,0,NA,NA,NA,NA,NA,1
"Elon","CAA",-11.4180335554148,-21.65072,-20.2077777777778,-542,331,350,351,352,345.975,346,0,NA,NA,NA,NA,NA,1
"Sacred Heart","NEC",-11.5049704950913,-15.53796,-14.6314444444444,-388,332,264,288,281,294.525,291.25,0,NA,NA,NA,NA,NA,1
"Stonehill","NEC",-11.5787265188947,-14.79504,-13.6891111111111,-365,333,251,274,263,283.925,280.25,0,NA,NA,NA,NA,NA,1
"Presbyterian","Big South",-11.9628173960225,-25.13108,-23.762,-641,334,362,362,362,355,355,0,NA,NA,NA,NA,NA,1
"McNeese","Southland",-12.1780424421694,-19.18428,-17.7402222222222,-487,335,329,337,333,334.8,333.5,0,NA,NA,NA,NA,NA,1
"Eastern Ill.","OVC",-12.3452168764328,-19.931,-18.7896666666667,-603,336,336,359,344,347.925,343.75,0,NA,NA,NA,NA,NA,1
"Saint Francis (PA)","NEC",-12.3520683515776,-16.38848,-15.3936666666667,-416,337,283,305,294,308.325,304.75,0,NA,NA,NA,NA,NA,1
"Central Conn. St.","NEC",-12.3944899195291,-20.5138,-19.5491111111111,-597,338,345,357,348,349.325,347,0,NA,NA,NA,NA,NA,1
"Central Ark.","A-Sun",-12.4028779432775,-19.01304,-17.3016666666667,-486,339,325,336,324,333.6,331,0,NA,NA,NA,NA,NA,1
"New Orleans","Southland",-12.4065752310552,-17.82712,-16.6626666666667,-488,340,305,338,312,330.3,323.75,0,NA,NA,NA,NA,NA,1
"UAlbany","Am. East",-12.4587521396791,-20.52176,-18.9416666666667,-501,341,346,343,345,343.2,343.75,0,NA,NA,NA,NA,NA,1
"Columbia","Ivy",-12.695456307316,-19.245,-17.5721111111111,-432,342,331,317,331,327.1,330.25,0,NA,NA,NA,NA,NA,1
"Holy Cross","Patriot",-12.7068026543799,-20.31496,-19.2652222222222,-595,343,343,356,346,349.55,347,0,NA,NA,NA,NA,NA,1
"Lindenwood","OVC",-12.9278219541666,-18.77348,-17.4785555555556,-508,344,319,344,330,338.5,334.25,0,NA,NA,NA,NA,NA,1
"Coppin St.","MEAC",-13.0957054945689,-19.77504,-17.8205555555556,-449,345,334,321,334,330.575,333.5,0,NA,NA,NA,NA,NA,1
"UIW","Southland",-13.202119788148,-17.43464,-16.4626666666667,-451,346,297,324,308,323.45,318.75,0,NA,NA,NA,NA,NA,1
"Alabama St.","SWAC",-13.6614258193678,-20.14176,-18.5097777777778,-497,347,340,342,339,342.575,342,0,NA,NA,NA,NA,NA,1
"Hampton","CAA",-13.9048857070969,-21.61096,-19.9514444444444,-485,348,349,334,351,341.875,345.5,0,NA,NA,NA,NA,NA,1
"Monmouth","CAA",-13.9260344094943,-22.64036,-20.5561111111111,-485,349,355,335,354,343.875,348.25,0,NA,NA,NA,NA,NA,1
"South Carolina St.","MEAC",-14.2161743221605,-23.22828,-21.4702222222222,-586,350,357,354,357,353.825,354.5,0,NA,NA,NA,NA,NA,1
"Bethune-Cookman","SWAC",-14.5195594702845,-17.843,-16.6986666666667,-514,351,306,346,313,337.125,329,0,NA,NA,NA,NA,NA,1
"Evansville","MVC",-14.7497141801061,-24.07624,-22.0291111111111,-511,352,360,345,359,350.75,354,0,NA,NA,NA,NA,NA,1
