team,region,seed,rating,first_round,second_round,sweet_sixteen,elite_eight,final_four,championship_game,champ
Kansas,West,1,18.3791620953782,1,1,0.639,0.321,0.15310000000000001,0.0769,0.0409
Howard,West,16,-2.45458201335769,1,0,0,0,0,0,0
Arkansas,West,8,14.9185197496859,1,1,0.361,0.1373,0.0471,0.0193,0.0073
Illinois,West,9,12.8479663580097,1,0,0,0,0,0,0
Saint Mary's (CA),West,5,16.1928515903152,1,1,0.3757,0.1696,0.0655,0.0269,0.0102
VCU,West,12,9.63640714524425,1,0,0,0,0,0,0
UConn,West,4,19.4706939927259,1,1,0.6243,0.3721,0.1858,0.1047,0.0568
Iona,West,13,7.94557682451069,1,0,0,0,0,0,0
TCU,West,6,15.0528321014234,1,1,0.3515,0.1162,0.0432,0.0153,0.0055
Arizona St.,West,11,10.4433549824693,1,0,0,0,0,0,0
Nevada,West,11,9.37268900010301,0,0,0,0,0,0,0
Gonzaga,West,3,18.8220109946238,1,1,0.6485,0.2938,0.1578,0.0815,0.0418
Grand Canyon,West,14,4.59116006310084,1,0,0,0,0,0,0
Northwestern,West,7,12.241063170517,1,1,0.1841,0.0593,0.0172,0.0043,0.0012
Boise St.,West,10,12.1763558099754,1,0,0,0,0,0,0
UCLA,West,2,21.3325704268829,1,1,0.8159,0.5307,0.3303,0.2033,0.1228
UNC Asheville,West,15,0.0442573364312624,1,0,0,0,0,0,0
Houston,Midwest,1,20.8520424263383,1,1,0.7623,0.5936,0.3901,0.2175,0.1249
Northern Ky.,Midwest,16,0.61680662788672,1,0,0,0,0,0,0
Iowa,Midwest,8,12.1887600555777,1,0,0,0,0,0,0
Auburn,Midwest,9,13.5992251879462,1,1,0.2377,0.1268,0.0473,0.0136,0.0047
Miami (FL),Midwest,5,11.4316809477698,1,1,0.4061,0.0946,0.0307,0.0068,0.002
Drake,Midwest,12,8.66418078425283,1,0,0,0,0,0,0
Indiana,Midwest,4,13.7767716362707,1,1,0.5939,0.185,0.0748,0.023,0.0078
Kent St.,Midwest,13,8.22588618465858,1,0,0,0,0,0,0
Iowa St.,Midwest,6,14.0223015372054,1,0,0,0,0,0,0
Pittsburgh,Midwest,11,9.87641052937152,1,1,0.3073,0.0709,0.0178,0.0029,3e-4
Mississippi St.,Midwest,11,10.2331846411376,0,0,0,0,0,0,0
Xavier,Midwest,3,14.8520816843401,1,1,0.6927,0.2681,0.1033,0.036,0.0121
Kennesaw St.,Midwest,14,2.51491221345851,1,0,0,0,0,0,0
Texas A&M,Midwest,7,13.3422342269205,1,0,0,0,0,0,0
Penn St.,Midwest,10,11.7174320269016,1,1,0.2202,0.0961,0.0269,0.0081,0.0021
Texas,Midwest,2,19.5441414958383,1,1,0.7798,0.5649,0.3091,0.1599,0.0836
Colgate,Midwest,15,3.54991032654495,1,0,0,0,0,0,0
Alabama,South,1,22.4295227989415,1,1,0.8097,0.6611,0.5049,0.3695,0.2259
A&M-Corpus Christi,South,16,-1.1439768979309,1,0,0,0,0,0,0
Southeast Mo. St.,South,16,-5.72894728123707,0,0,0,0,0,0,0
Maryland,South,8,13.4177544440348,1,1,0.1903,0.1011,0.047,0.0182,0.0057
West Virginia,South,9,14.630168490119,1,0,0,0,0,0,0
San Diego St.,South,5,14.36251531157,1,1,0.7845,0.2138,0.1027,0.0423,0.0125
Col. of Charleston,South,12,9.08241211247093,1,0,0,0,0,0,0
Virginia,South,4,11.6244953056163,1,0,0,0,0,0,0
Furman,South,13,6.35678207381497,1,1,0.2155,0.024,0.0053,9e-4,0
Creighton,South,6,16.4039660318348,1,1,0.5046,0.3856,0.1479,0.0757,0.0298
NC State,South,11,10.7494336563648,1,0,0,0,0,0,0
Baylor,South,3,16.3135803366413,1,1,0.4954,0.3658,0.1417,0.0721,0.0282
UC Santa Barbara,South,14,4.22440061923787,1,0,0,0,0,0,0
Missouri,South,7,10.8924266909371,1,1,0.7122,0.2109,0.0458,0.0124,0.0031
Utah St.,South,10,13.2333221174477,1,0,0,0,0,0,0
Arizona,South,2,17.7694875737523,1,0,0,0,0,0,0
Princeton,South,15,5.22216647366678,1,1,0.2878,0.0377,0.0047,5e-4,0
Purdue,East,1,16.5983370004052,1,0,0,0,0,0,0
Texas Southern,East,16,-8.97014092460133,0,0,0,0,0,0,0
Fairleigh Dickinson,East,16,-7.34061159828071,1,1,0.032,5e-4,0,0,0
Memphis,East,8,13.6798197747891,1,0,0,0,0,0,0
Fla. Atlantic,East,9,13.9483714085348,1,1,0.968,0.3334,0.1576,0.0531,0.0175
Duke,East,5,14.4901697297242,1,1,0.3028,0.1697,0.0841,0.0264,0.0083
Oral Roberts,East,12,9.8797312611716,1,0,0,0,0,0,0
Tennessee,East,4,19.5735946118932,1,1,0.6972,0.4964,0.3366,0.1778,0.0922
Louisiana,East,13,5.71784133919442,1,0,0,0,0,0,0
Kentucky,East,6,13.552222528179,1,1,0.4629,0.2018,0.0788,0.025,0.0073
Providence,East,11,11.9216872469166,1,0,0,0,0,0,0
Kansas St.,East,3,14.654108616208,1,1,0.5371,0.2647,0.1082,0.0377,0.0128
Montana St.,East,14,4.06736131320476,1,0,0,0,0,0,0
Michigan St.,East,7,12.8845711907548,1,1,0.3682,0.168,0.061,0.0192,0.0044
Southern California,East,10,12.4630499274646,1,0,0,0,0,0,0
Marquette,East,2,16.3448409184011,1,1,0.6318,0.3655,0.1737,0.0692,0.0283
Vermont,East,15,3.7572714765543,1,0,0,0,0,0,0
