"team","conf","yusag_coeff","rpi","sor","wab","qual_bonus","yusag_rank","rpi_rank","sor_rank","resume_rank","wab_rank","mid_major","wins","losses","blend"
"Cornell","Ivy",-4.86,0.4621,-13.42464,-11.0421111111111,-97.45,239,243,204,213,213,TRUE,11.355,15.645,224.2
"Akron","MAC",-6.01,0.4714,-15.61612,-12.6048888888889,-86,259,225,256,202,254,TRUE,13,18,226.05
"Lehigh","Patriot",-5.71,0.4791,-11.75596,-9.86311111111111,-123,250,212,172,244,191,TRUE,15,14,226.1
"Western Caro.","Southern",-8.56,0.4746,-14.78016,-11.3166666666667,-93,297,219,238,208,228,TRUE,11,19,226.65
"California","Pac 12",-6.76,0.4651,-18.01752,-13.2822222222222,-78,273,235,298,190,263,FALSE,8,23,227.65
"UTRGV","WAC",-5.49,0.4705,-14.20848,-11.2168888888889,-106,245,228,227,220,225,TRUE,13,17,227.7
"Boston U.","Patriot",-5.74,0.4807,-14.1204,-11.8492222222222,-115,252,206,223,230,235,TRUE,14,16,228
"Delaware","CAA",-6.2,0.4696,-16.69056,-13.7138888888889,-82,262,229,282,196,272,TRUE,12,19,229.05
"Stony Brook","Am. East",-3.05,0.4803,-15.63912,-12.4592222222222,-112,219,208,258,227,252,TRUE,12,19,229.05
"Mt. St. Mary's","NEC",-4.39,0.4735,-12.31504,-10.5387777777778,-122,230,223,187,242,208,TRUE,16,14,229.15
"Texas Southern","SWAC",-4.75,0.4681,-14.20672,-11.1354444444444,-111.907,237,232,226,226,219,TRUE,14.829,19.171,229.9
"North Dakota","Big Sky",-5.82,0.4794,-15.9398,-12.1507777777778,-106,256,210,265,221,247,TRUE,10,20,230.75
"Robert Morris","NEC",-5.75,0.4918,-14.45708,-11.9251111111111,-126,253,183,233,248,239,TRUE,16,17,231.85
"Ill.-Chicago","Horizon",-1.84,0.4631,-12.85636,-10.4856666666667,-127,196,240,196,249,206,TRUE,15,15,233.85
"North Texas","C-USA",-1.61,0.4603,-14.23656,-11.0768888888889,-121,194,248,228,240,216,TRUE,13,17,235.8
"Manhattan","MAAC",-2.59,0.4714,-14.89756,-12.29,-120,215,226,241,238,250,TRUE,14,17,236.2
"Air Force","MWC",-2.56,0.4537,-15.7724,-12.1046666666667,-101,214,257,262,218,245,TRUE,10,19,236.45
"Idaho St.","Big Sky",-2.46,0.4456,-13.73716,-11.1707777777778,-119,213,269,214,235,222,TRUE,12,16,239.9
"North Florida","A-Sun",-9.39,0.4681,-14.8738,-11.7391111111111,-114,307,231,239,229,233,TRUE,11,19,240.7
"Duquesne","A-10",-0.24,0.4482,-13.75148,-11.1488888888889,-130,172,264,215,252,221,TRUE,16,16,242.2
"Abilene Christian","Southland",-5.59,0.4586,-13.42776,-11.7325555555556,-122,247,252,205,243,232,TRUE,12,15,242.75
"Milwaukee","Horizon",-2.3,0.4648,-14.05152,-11.58,-136,210,236,222,257,231,TRUE,15,16,242.95
"Saint Peter's","MAAC",-1.99,0.4593,-15.65632,-12.9071111111111,-120,202,251,259,239,256,TRUE,14,18,244
"Prairie View","SWAC",-6.34,0.461,-15.00332,-12.2124444444444,-117,267,245,245,234,249,TRUE,15,18,244.65
"Southern Utah","Big Sky",-6.75,0.4613,-15.45576,-12.041,-120,272,244,251,237,242,TRUE,11,19,246.15
"Charleston So.","Big South",-4.67,0.4509,-13.866,-11.7838888888889,-125,235,259,218,247,234,TRUE,12,16,246.6
"Loyola Marymount","WCC",-3.26,0.4461,-15.4736,-11.9076666666667,-121,220,268,253,241,238,TRUE,10,20,248.55
"Northern Ill.","MAC",-5.77,0.4609,-16.66576,-13.7866666666667,-116,254,246,281,232,276,TRUE,11,19,249
"Gardner-Webb","Big South",-6.27,0.464,-15.07968,-12.4091111111111,-127,264,239,248,250,251,TRUE,11,18,250.55
"NJIT","A-Sun",-5.17,0.4473,-13.79108,-11.9056666666667,-128,241,266,216,251,237,TRUE,12,16,250.85
"Drexel","CAA",-6.37,0.4658,-17.62976,-14.668,-119,268,234,291,236,289,TRUE,12,20,251.5
"N.C. A&T","MEAC",-10.2,0.4607,-12.35316,-10.7896666666667,-138,320,247,188,260,211,TRUE,18,14,252.65
"Grambling","SWAC",-8.95,0.4598,-12.48144,-10.5725555555556,-144,302,249,190,265,209,TRUE,16,14,253.6
"Southeast Mo. St.","OVC",-5.56,0.4544,-15.17588,-12.9665555555556,-131,246,255,249,253,258,TRUE,12,17,254.9
"Oral Roberts","Summit",-4.25,0.4507,-15.92812,-12.1665555555556,-133,229,260,264,254,248,TRUE,8,20,255.4
"Massachusetts","A-10",-2.7,0.4566,-16.56568,-12.7901111111111,-139,216,253,277,262,255,TRUE,13,20,257.95
"Campbell","Big South",-3.49,0.4472,-13.55116,-11.9558888888889,-150,222,267,207,272,240,TRUE,13,15,258.05
"Appalachian St.","Sunbelt",-2.05,0.4541,-15.69152,-13.1216666666667,-146,204,256,261,267,261,TRUE,13,18,258.75
"UNCW","CAA",-6.85,0.4629,-18.14496,-14.8207777777778,-123,276,241,300,245,291,TRUE,9,21,259.2
"East Carolina","AAC",-9.82,0.4348,-16.65856,-13.7855555555556,-115,313,282,280,231,275,FALSE,10,20,261.25
"South Ala.","Sunbelt",-5.73,0.4477,-15.56964,-12.9073333333333,-138,251,265,255,261,257,TRUE,12,18,262
"Texas St.","Sunbelt",-2.96,0.4643,-15.99852,-13.3522222222222,-160,218,237,267,281,266,TRUE,13,18,262.8
"High Point","Big South",-6.2,0.4448,-14.36768,-12.554,-143,263,270,231,264,253,TRUE,11,16,263
"Eastern Ill.","OVC",-5.61,0.4496,-16.58048,-13.9745555555556,-135,248,262,278,256,281,TRUE,10,19,263.4
"Coastal Caro.","Sunbelt",-4.7,0.4641,-15.99008,-13.3654444444444,-159,236,238,266,278,267,TRUE,11,18,263.5
"Western Ill.","Summit",-8.78,0.4257,-13.68728,-11.2373333333333,-135,300,300,209,255,226,TRUE,8,16,265.25
"Brown","Ivy",-4.84,0.4304,-14.00616,-11.8566666666667,-147,238,293,221,268,236,TRUE,10,16,265.35
"Santa Clara","WCC",-7.89,0.4408,-15.28276,-12.1502222222222,-141,286,274,250,263,246,TRUE,10,19,267.05
"LIU Brooklyn","NEC",-5.66,0.4738,-15.0294,-13.4657777777778,-176,249,221,246,302,268,TRUE,17,16,269.45
"UMKC","WAC",-8.67,0.4551,-17.3886,-14.0257777777778,-145,298,254,287,266,283,TRUE,8,21,272
"Norfolk St.","MEAC",-9.27,0.4524,-15.0778,-13.3438888888889,-157,305,258,247,276,265,TRUE,13,17,272.4
"McNeese","Southland",-7.88,0.4343,-14.99,-13.0256666666667,-149,285,283,244,271,259,TRUE,8,17,273.5
"Omaha","Summit",-8.42,0.438,-17.70468,-13.8985555555556,-137,293,277,293,259,277,TRUE,7,22,274.1
"Bethune-Cookman","MEAC",-8.12,0.4327,-13.20256,-12.0548888888889,-161,290,288,202,284,243,TRUE,16,14,275.3
"Montana St.","Big Sky",-7.82,0.4389,-16.6372,-13.7378888888889,-150,284,276,279,273,273,TRUE,11,19,277.45
"UMass Lowell","Am. East",-6.87,0.4333,-16.34904,-14.2394444444444,-152,277,285,274,274,285,TRUE,11,18,280.15
"Fairleigh Dickinson","NEC",-6.89,0.4595,-15.55088,-13.2847777777778,-177,278,250,254,303,264,TRUE,11,18,280.45
"Central Conn. St.","NEC",-8.22,0.4488,-16.25824,-14.0926666666667,-161,291,263,272,285,284,TRUE,14,18,280.7
"James Madison","CAA",-5.99,0.4436,-19.64328,-16.7195555555556,-147,258,273,319,270,313,TRUE,9,22,280.75
"Fla. Atlantic","C-USA",-4.59,0.4323,-16.32124,-13.494,-166,234,289,273,288,269,TRUE,9,19,281.45
"Samford","Southern",-9.62,0.4293,-18.48772,-15.0957777777778,-136,309,295,306,258,296,TRUE,8,22,282.95
"Quinnipiac","MAAC",-6.65,0.4369,-18.95412,-16.1727777777778,-156,271,278,313,275,307,TRUE,12,21,284.35
"Eastern Ky.","OVC",-9.73,0.4447,-17.70828,-14.9358888888889,-159,311,271,294,279,293,TRUE,9,20,285.1
"South Fla.","AAC",-10.01,0.4318,-18.42856,-15.2677777777778,-147,317,290,304,269,299,FALSE,10,22,285.55
"Army West Point","Patriot",-5.83,0.4356,-15.62856,-13.7704444444444,-175,257,281,257,301,274,TRUE,12,17,286.5
"FIU","C-USA",-4.55,0.4267,-16.20212,-13.9035555555556,-171,233,298,270,295,278,TRUE,11,18,287.35
"A&M-Corpus Chris","Southland",-5.31,0.4079,-16.21492,-14.2467777777778,-158,243,323,271,277,286,TRUE,8,18,287.4
"Southern U.","SWAC",-10.7,0.4232,-14.90532,-13.0474444444444,-160.392,323,303,242,283,260,TRUE,13.624,17.376,287.6
"UTEP","C-USA",-7.13,0.4304,-17.36356,-14.3083333333333,-160,280,294,286,282,287,TRUE,10,20,287.7
"Jacksonville","A-Sun",-11.49,0.4389,-15.80396,-13.7102222222222,-170,327,275,263,294,271,TRUE,11,18,289.15
"N.C. Central","MEAC",-11.43,0.4332,-14.5358,-13.1278888888889,-171.03,326,286,235,297,262,TRUE,15.41,15.59,289.45
"Portland","WCC",-6.76,0.4275,-17.55672,-14.0071111111111,-164,274,296,288,287,282,TRUE,7,22,289.55
"Columbia","Ivy",-3.63,0.4181,-16.12416,-13.9097777777778,-171,223,310,268,296,279,TRUE,7,19,289.7
"IUPUI","Horizon",-8.03,0.4274,-16.13872,-13.9423333333333,-167,288,297,269,289,280,TRUE,9,19,290
"Morehead St.","OVC",-9.26,0.4365,-17.89364,-15.1421111111111,-163,304,279,297,286,297,TRUE,6,21,290.25
"Holy Cross","Patriot",-6.52,0.4501,-17.30884,-15.2238888888889,-197,269,261,284,311,298,TRUE,12,19,292.3
"St. Francis Brooklyn","NEC",-8.56,0.4447,-16.53228,-14.7517777777778,-184,296,272,276,308,290,TRUE,11,18,294.8
"Kennesaw St.","A-Sun",-8.84,0.4263,-17.3628,-15.0553333333333,-167,301,299,285,290,295,TRUE,8,20,295.35
"SIUE","OVC",-9.82,0.434,-18.20456,-15.7563333333333,-168,314,284,301,291,303,TRUE,9,21,295.75
"Green Bay","Horizon",-6.79,0.4196,-17.5722,-14.8662222222222,-169,275,309,290,293,292,TRUE,10,20,296.8
"The Citadel","Southern",-10.18,0.4358,-17.6944,-14.6364444444444,-178,319,280,292,304,288,TRUE,8,21,298.7
"New Hampshire","Am. East",-5.78,0.4165,-18.6538,-16.0534444444444,-168,255,313,310,292,306,TRUE,8,21,298.75
"Fordham","A-10",-6.33,0.4232,-18.45216,-14.9564444444444,-174,265,302,305,300,294,TRUE,9,22,298.9
"Cal Poly","Big West",-9.92,0.4213,-19.8716,-16.9868888888889,-159,316,307,322,280,318,TRUE,7,22,300.35
"UC Riverside","Big West",-6.58,0.425,-19.35096,-16.4456666666667,-180,270,301,317,305,310,TRUE,7,22,304.2
"Arkansas St.","Sunbelt",-7.58,0.431,-18.39704,-15.685,-197,283,292,303,312,302,TRUE,9,21,304.2
"Chattanooga","Southern",-8.35,0.422,-20.48604,-17.3992222222222,-173,292,304,323,299,322,TRUE,8,23,306.25
"VMI","Southern",-12.66,0.4131,-18.28652,-15.4761111111111,-173,332,316,302,298,301,TRUE,7,21,308.6
"Siena","MAAC",-8.46,0.4312,-21.33548,-18.1931111111111,-185,294,291,331,309,326,TRUE,8,24,308.9
"Cleveland St.","Horizon",-8.75,0.433,-19.77888,-17.0246666666667,-203,299,287,320,316,319,TRUE,11,23,309.75
"Dartmouth","Ivy",-8.54,0.3947,-17.84936,-15.452,-182,295,334,296,306,300,TRUE,6,20,312.3
"Binghamton","Am. East",-7.51,0.4086,-18.05992,-15.9917777777778,-205,282,320,299,317,305,TRUE,9,20,313.25
"Sacramento St.","Big Sky",-6.03,0.4215,-21.90032,-18.4205555555556,-206,260,306,336,318,330,TRUE,5,25,314.2
"UT Martin","OVC",-9.28,0.4158,-19.01056,-16.6682222222222,-202,306,314,314,315,311,TRUE,8,21,315.35
"San Jose St.","MWC",-7.36,0.4083,-22.59396,-18.7363333333333,-182,281,322,340,307,334,TRUE,3,26,316.15
"Presbyterian","Big South",-12.19,0.4147,-18.59172,-16.3907777777778,-200,330,315,308,313,309,TRUE,8,21,316.3
"Jackson St.","SWAC",-14.31,0.4061,-17.7772,-15.8343333333333,-190.112,338,325,295,310,304,TRUE,10.464,19.536,316.45
"Pepperdine","WCC",-7.03,0.4083,-21.39464,-17.5757777777778,-200,279,321,332,314,324,TRUE,5,26,317.05
"Lafayette","Patriot",-6.33,0.4208,-19.02592,-17.1328888888889,-218,266,308,315,329,320,TRUE,9,21,317.15
"Sacred Heart","NEC",-8.08,0.4102,-19.06504,-16.9617777777778,-214,289,318,316,325,317,TRUE,9,21,319.95
"Little Rock","Sunbelt",-9.46,0.4216,-21.54584,-18.5097777777778,-212,308,305,334,322,331,TRUE,6,24,320.45
"Morgan St.","MEAC",-10.64,0.4032,-17.56356,-16.1955555555556,-213,322,326,289,323,308,TRUE,11,19,320.75
"Charlotte","C-USA",-9.11,0.3978,-20.54676,-17.6381111111111,-209,303,330,324,319,325,TRUE,5,23,323.25
"Loyola Maryland","Patriot",-9.66,0.4112,-19.86092,-17.5063333333333,-214,310,317,321,326,323,TRUE,8,22,323.35
"Stetson","A-Sun",-9.79,0.4009,-18.63272,-16.804,-213,312,328,309,324,316,TRUE,8,20,323.5
"Ark.-Pine Bluff","SWAC",-10.12,0.418,-18.91592,-16.7987777777778,-232.108,318,311,312,335,315,TRUE,13.876,21.124,325
"Detroit Mercy","Horizon",-12.27,0.4089,-21.27188,-18.3781111111111,-212,331,319,329,321,329,TRUE,6,24,325.1
"Rice","C-USA",-7.94,0.3977,-21.23376,-18.2443333333333,-215,287,331,328,327,327,TRUE,5,24,326.1
"South Carolina St.","MEAC",-15.91,0.4001,-19.58792,-17.277,-211,343,329,318,320,321,TRUE,8,22,326.45
"Northern Ariz.","Big Sky",-11.72,0.4174,-22.60508,-19.0914444444444,-223,329,312,341,331,335,TRUE,4,26,329.45
"Youngstown St.","Horizon",-10.62,0.4011,-21.27384,-18.2563333333333,-227,321,327,330,333,328,TRUE,6,24,331.5
"Incarnate Word","Southland",-14.59,0.3739,-18.54992,-16.7717777777778,-220,339,343,307,330,314,TRUE,3,21,332.25
"Marist","MAAC",-9.86,0.407,-22.7008,-20.0612222222222,-242,315,324,343,338,342,TRUE,6,25,335.1
"Alcorn","SWAC",-13.61,0.3732,-18.73636,-16.6818888888889,-237,334,346,311,336,312,TRUE,7,21,335.4
"Northwestern St.","Southland",-17.18,0.3776,-20.94328,-18.657,-216,346,342,326,328,333,TRUE,2,23,335.6
"Alabama St.","SWAC",-14.21,0.3964,-20.68984,-18.6393333333333,-245,336,332,325,339,332,TRUE,8,23,336.85
"CSUN","Big West",-12.96,0.3822,-21.9574,-19.3912222222222,-224,333,340,337,332,339,TRUE,4,24,337.3
"American","Patriot",-11.04,0.39,-21.48352,-19.2641111111111,-257,324,336,333,341,337,TRUE,6,24,338.85
"Houston Baptist","Southland",-13.87,0.3735,-21.84684,-19.1983333333333,-241,335,345,335,337,336,TRUE,3,25,340.5
"Chicago St.","WAC",-18.12,0.3848,-24.33368,-20.2748888888889,-229,348,337,347,334,345,TRUE,1,29,340.55
"Florida A&M","MEAC",-15,0.3953,-22.46276,-19.7558888888889,-258,341,333,339,342,341,TRUE,8,25,341.25
"Howard","MEAC",-14.26,0.383,-21.08284,-19.3235555555556,-267,337,339,327,343,338,TRUE,8,23,341.3
"Maine","Am. East",-11.53,0.384,-23.1122,-20.2197777777778,-269,328,338,344,344,343,TRUE,4,26,342.8
"USC Upstate","A-Sun",-14.72,0.3707,-22.64584,-20.2208888888889,-253,340,348,342,340,344,TRUE,3,25,344.6
"Longwood","Big South",-16.31,0.3901,-24.01968,-21.5992222222222,-289,344,335,346,346,346,TRUE,4,26,345.05
"UMES","MEAC",-20.51,0.3721,-22.16192,-19.7065555555556,-273,350,347,338,345,340,TRUE,5,25,346.8
"Bryant","NEC",-15.09,0.379,-25.70628,-23.2423333333333,-308,342,341,349,348,349,TRUE,3,28,347.85
"Coppin St.","MEAC",-17.65,0.3735,-23.87416,-21.645,-300,347,344,345,347,347,TRUE,5,27,348.05
"Mississippi Val.","SWAC",-16.93,0.3594,-25.58556,-22.9888888888889,-315,345,349,348,349,348,TRUE,4,28,350.4
"Alabama A&M","SWAC",-20.3,0.34,-25.85868,-23.6838888888889,-343,349,350,350,350,350,TRUE,3,28,351.9
"Delaware St.","MEAC",-20.78,0.3345,-26.42384,-24.5002222222222,-347,351,351,351,351,351,TRUE,2,28,353
