"year","month","day","team","opponent","location","teamscore","oppscore","canceled","postponed","OT","D1"
2020,11,25,"A&M-Corpus Christi","Tex. A&M Int'l","H",64,53,FALSE,FALSE,NA,1
2020,11,28,"A&M-Corpus Christi","Texas St.","H",63,75,FALSE,FALSE,NA,2
2020,11,30,"A&M-Corpus Christi","SMU","V",54,91,FALSE,FALSE,NA,2
2020,12,2,"A&M-Corpus Christi","UTRGV","V",59,62,FALSE,FALSE,NA,2
2020,12,10,"A&M-Corpus Christi","UTRGV","H",64,68,FALSE,FALSE,NA,2
2020,12,12,"A&M-Corpus Christi","Texas Tech","N",57,77,FALSE,FALSE,NA,2
2020,12,15,"A&M-Corpus Christi","Texas St.","V",46,51,FALSE,FALSE,NA,2
2020,12,19,"A&M-Corpus Christi","Our Lady of the Lake","H",99,72,FALSE,FALSE,NA,1
2020,12,22,"A&M-Corpus Christi","Paul Quinn","H",59,35,FALSE,FALSE,NA,1
2020,12,23,"A&M-Corpus Christi","Paul Quinn","H",NA,NA,TRUE,FALSE,NA,1
2020,12,29,"A&M-Corpus Christi","Texas","V",NA,NA,TRUE,FALSE,NA,2
2021,1,13,"A&M-Corpus Christi","Southeastern La.","V",63,76,FALSE,FALSE,NA,2
2021,1,20,"A&M-Corpus Christi","New Orleans","V",68,87,FALSE,FALSE,NA,2
2021,1,23,"A&M-Corpus Christi","UIW","V",53,72,FALSE,FALSE,NA,2
2021,1,27,"A&M-Corpus Christi","Sam Houston","H",70,75,FALSE,FALSE,NA,1
2021,2,3,"A&M-Corpus Christi","SFA","H",75,84,FALSE,FALSE,NA,2
2021,2,6,"A&M-Corpus Christi","UIW","H",53,58,FALSE,FALSE,NA,2
2021,2,8,"A&M-Corpus Christi","Abilene Christian","H",69,82,FALSE,FALSE,NA,2
2021,2,10,"A&M-Corpus Christi","SFA","V",68,80,FALSE,FALSE,NA,2
2021,2,13,"A&M-Corpus Christi","Abilene Christian","V",55,83,FALSE,FALSE,NA,2
2021,2,15,"A&M-Corpus Christi","Houston Baptist","H",NA,NA,FALSE,TRUE,NA,2
2021,2,20,"A&M-Corpus Christi","Lamar University","H",77,68,FALSE,FALSE,NA,2
2021,2,22,"A&M-Corpus Christi","Southeastern La.","H",75,78,FALSE,FALSE,NA,2
2021,2,24,"A&M-Corpus Christi","New Orleans","H",61,69,FALSE,FALSE,NA,2
2021,3,1,"A&M-Corpus Christi","Lamar University","V",47,66,FALSE,FALSE,NA,2
2021,3,3,"A&M-Corpus Christi","Sam Houston","V",61,84,FALSE,FALSE,NA,1
2021,3,6,"A&M-Corpus Christi","Houston Baptist","V",94,70,FALSE,FALSE,NA,2
2020,11,25,"Abilene Christian","ETSU","N",70,47,FALSE,FALSE,NA,2
2020,11,27,"Abilene Christian","Austin Peay","N",80,72,FALSE,FALSE,NA,2
2020,11,28,"Abilene Christian","Omaha","N",70,58,FALSE,FALSE,NA,2
2020,12,1,"Abilene Christian","Howard Payne","H",81,51,FALSE,FALSE,NA,1
2020,12,5,"Abilene Christian","Tarleton St.","H",69,48,FALSE,FALSE,NA,2
2020,12,9,"Abilene Christian","Texas Tech","V",44,51,FALSE,FALSE,NA,2
2020,12,12,"Abilene Christian","McMurry","H",83,46,FALSE,FALSE,NA,1
2020,12,16,"Abilene Christian","Hardin-Simmons","H",95,73,FALSE,FALSE,NA,1
2020,12,22,"Abilene Christian","Arkansas","V",72,85,FALSE,FALSE,NA,2
2020,12,29,"Abilene Christian","Dallas Christian","H",82,44,FALSE,FALSE,NA,1
2021,1,2,"Abilene Christian","Lamar University","H",83,65,FALSE,FALSE,NA,2
2021,1,6,"Abilene Christian","Houston Baptist","V",66,63,FALSE,FALSE,NA,2
2021,1,16,"Abilene Christian","Southeastern La.","H",76,42,FALSE,FALSE,NA,2
2021,1,20,"Abilene Christian","Sam Houston","V",57,64,FALSE,FALSE,NA,1
2021,1,23,"Abilene Christian","Central Ark.","H",93,58,FALSE,FALSE,NA,2
2021,1,27,"Abilene Christian","SFA","H",82,62,FALSE,FALSE,NA,2
2021,1,30,"Abilene Christian","UIW","V",75,67,FALSE,FALSE,NA,2
2021,2,6,"Abilene Christian","Lamar University","V",77,62,FALSE,FALSE,NA,2
2021,2,8,"Abilene Christian","A&M-Corpus Christi","V",82,69,FALSE,FALSE,NA,2
2021,2,10,"Abilene Christian","Houston Baptist","H",88,59,FALSE,FALSE,NA,2
2021,2,13,"Abilene Christian","A&M-Corpus Christi","H",83,55,FALSE,FALSE,NA,2
2021,2,20,"Abilene Christian","Southeastern La.","V",NA,NA,FALSE,TRUE,NA,2
2021,2,24,"Abilene Christian","Sam Houston","H",86,72,FALSE,FALSE,NA,1
2021,2,27,"Abilene Christian","Central Ark.","V",82,84,FALSE,FALSE,NA,2
2021,3,3,"Abilene Christian","SFA","V",63,61,FALSE,FALSE,NA,2
2021,3,6,"Abilene Christian","UIW","H",85,60,FALSE,FALSE,NA,2
2021,3,12,"Abilene Christian","Lamar University","N",93,71,FALSE,FALSE,NA,2
2021,3,13,"Abilene Christian","Nicholls","N",79,45,FALSE,FALSE,NA,1
2021,3,20,"Abilene Christian","Texas","N",53,52,FALSE,FALSE,NA,2
2021,3,22,"Abilene Christian","UCLA","N",47,67,FALSE,FALSE,NA,2
2020,11,28,"Air Force","CSUN","N",66,61,FALSE,FALSE,NA,2
2020,11,29,"Air Force","Seattle U","N",45,63,FALSE,FALSE,NA,2
2020,12,2,"Air Force","Denver","H",NA,NA,FALSE,TRUE,NA,2
2020,12,5,"Air Force","Lamar University","H",59,44,FALSE,FALSE,NA,2
2020,12,13,"Air Force","Drake","V",53,81,FALSE,FALSE,NA,2
2020,12,18,"Air Force","Nevada","V",57,74,FALSE,FALSE,NA,2
2020,12,20,"Air Force","Nevada","V",68,66,FALSE,FALSE,NA,2
2020,12,23,"Air Force","Utah Valley","H",NA,NA,TRUE,FALSE,NA,2
2020,12,31,"Air Force","Utah St.","H",48,83,FALSE,FALSE,NA,2
2021,1,2,"Air Force","Utah St.","H",53,72,FALSE,FALSE,NA,2
2021,1,6,"Air Force","Boise St.","V",59,78,FALSE,FALSE,NA,2
2021,1,8,"Air Force","Boise St.","V",69,80,FALSE,FALSE,NA,2
2021,1,16,"Air Force","Wyoming","H",72,69,FALSE,FALSE,NA,2
2021,1,18,"Air Force","Wyoming","H",58,77,FALSE,FALSE,NA,2
2021,1,22,"Air Force","San Diego St.","H",61,98,FALSE,FALSE,NA,2
2021,1,24,"Air Force","San Diego St.","H",59,91,FALSE,FALSE,NA,2
2021,1,28,"Air Force","San Jose St.","N",58,59,FALSE,FALSE,NA,2
2021,1,30,"Air Force","San Jose St.","N",62,75,FALSE,FALSE,NA,2
2021,2,6,"Air Force","UNLV","V",58,68,FALSE,FALSE,NA,2
2021,2,8,"Air Force","UNLV","V",64,69,FALSE,FALSE,NA,2
2021,2,11,"Air Force","Fresno St.","H",63,69,FALSE,FALSE,NA,2
2021,2,13,"Air Force","Fresno St.","H",64,67,FALSE,FALSE,NA,2
2021,2,22,"Air Force","New Mexico","H",65,73,FALSE,FALSE,NA,2
2021,2,24,"Air Force","New Mexico","H",62,55,FALSE,FALSE,NA,2
2021,2,27,"Air Force","Colorado St.","V",49,72,FALSE,FALSE,NA,2
2021,3,1,"Air Force","Colorado St.","V",44,74,FALSE,FALSE,NA,2
2021,3,10,"Air Force","UNLV","V",52,80,FALSE,FALSE,NA,2
2020,12,5,"Akron","Marshall","H",NA,NA,FALSE,TRUE,NA,2
2020,12,12,"Akron","Cedarville","H",97,49,FALSE,FALSE,NA,1
2020,12,15,"Akron","St. Bonaventure","N",74,81,FALSE,FALSE,NA,2
2020,12,19,"Akron","Malone","H",93,83,FALSE,FALSE,NA,1
2020,12,22,"Akron","Ohio","H",90,70,FALSE,FALSE,NA,2
2021,1,1,"Akron","Buffalo","H",NA,NA,FALSE,TRUE,NA,2
2021,1,1,"Akron","Kent St.","H",66,62,FALSE,FALSE,NA,2
2021,1,5,"Akron","Eastern Mich.","V",NA,NA,FALSE,TRUE,NA,2
2021,1,9,"Akron","Eastern Mich.","V",59,71,FALSE,FALSE,NA,2
2021,1,12,"Akron","Northern Ill.","V",65,67,FALSE,FALSE,NA,2
2021,1,16,"Akron","Toledo","H",95,94,FALSE,FALSE,NA,2
2021,1,19,"Akron","Bowling Green","V",69,57,FALSE,FALSE,NA,2
2021,1,21,"Akron","Central Mich.","H",81,67,FALSE,FALSE,NA,2
2021,1,23,"Akron","Western Mich.","V",79,68,FALSE,FALSE,NA,2
2021,1,26,"Akron","Eastern Mich.","H",86,65,FALSE,FALSE,NA,2
2021,1,30,"Akron","Ball St.","H",74,42,FALSE,FALSE,NA,2
2021,2,2,"Akron","Toledo","V",76,91,FALSE,FALSE,NA,2
2021,2,5,"Akron","Kent St.","V",72,61,FALSE,FALSE,NA,2
2021,2,12,"Akron","Miami (OH)","V",83,76,FALSE,FALSE,NA,2
2021,2,16,"Akron","Northern Ill.","H",81,76,FALSE,FALSE,NA,2
2021,2,19,"Akron","Ball St.","V",88,79,FALSE,FALSE,NA,2
2021,2,23,"Akron","Ohio","V",73,90,FALSE,FALSE,NA,2
2021,2,26,"Akron","Bowling Green","H",71,83,FALSE,FALSE,NA,2
2021,3,2,"Akron","Buffalo","V",78,80,FALSE,FALSE,NA,2
2021,3,5,"Akron","Miami (OH)","H",NA,NA,TRUE,FALSE,NA,2
2021,3,11,"Akron","Bowling Green","N",74,67,FALSE,FALSE,NA,2
2021,3,12,"Akron","Buffalo","N",74,81,FALSE,FALSE,NA,2
2020,11,25,"Alabama","Jacksonville St.","H",81,57,FALSE,FALSE,NA,2
2020,11,30,"Alabama","Stanford","N",64,82,FALSE,FALSE,NA,2
2020,12,1,"Alabama","UNLV","N",86,74,FALSE,FALSE,NA,2
2020,12,2,"Alabama","Providence","N",88,71,FALSE,FALSE,NA,2
2020,12,12,"Alabama","Clemson","N",56,64,FALSE,FALSE,NA,2
2020,12,15,"Alabama","Furman","H",83,80,FALSE,FALSE,NA,2
2020,12,19,"Alabama","Western Ky.","H",71,73,FALSE,FALSE,NA,2
2020,12,22,"Alabama","ETSU","H",85,69,FALSE,FALSE,NA,2
2020,12,29,"Alabama","Ole Miss","H",82,64,FALSE,FALSE,NA,2
2021,1,2,"Alabama","Tennessee","V",71,63,FALSE,FALSE,NA,2
2021,1,5,"Alabama","Florida","H",86,71,FALSE,FALSE,NA,2
2021,1,9,"Alabama","Auburn","V",94,90,FALSE,FALSE,NA,2
2021,1,12,"Alabama","Kentucky","V",85,65,FALSE,FALSE,NA,2
2021,1,16,"Alabama","Arkansas","H",90,59,FALSE,FALSE,NA,2
2021,1,19,"Alabama","LSU","V",105,75,FALSE,FALSE,NA,2
2021,1,23,"Alabama","Mississippi St.","H",81,73,FALSE,FALSE,NA,2
2021,1,26,"Alabama","Kentucky","H",70,59,FALSE,FALSE,NA,2
2021,1,30,"Alabama","Oklahoma","V",61,66,FALSE,FALSE,NA,2
2021,2,3,"Alabama","LSU","H",78,60,FALSE,FALSE,NA,2
2021,2,6,"Alabama","Missouri","V",65,68,FALSE,FALSE,NA,2
2021,2,9,"Alabama","South Carolina","V",81,78,FALSE,FALSE,NA,2
2021,2,13,"Alabama","Georgia","H",115,82,FALSE,FALSE,NA,2
2021,2,18,"Alabama","Texas A&M","V",NA,NA,FALSE,TRUE,NA,2
2021,2,20,"Alabama","Vanderbilt","H",82,78,FALSE,FALSE,NA,2
2021,2,24,"Alabama","Arkansas","V",66,81,FALSE,FALSE,NA,2
2021,2,27,"Alabama","Mississippi St.","V",64,59,FALSE,FALSE,NA,2
2021,3,2,"Alabama","Auburn","H",70,58,FALSE,FALSE,NA,2
2021,3,6,"Alabama","Georgia","V",89,79,FALSE,FALSE,NA,2
2021,3,12,"Alabama","Mississippi St.","N",85,48,FALSE,FALSE,NA,2
2021,3,13,"Alabama","Tennessee","N",73,68,FALSE,FALSE,NA,2
2021,3,14,"Alabama","LSU","N",80,79,FALSE,FALSE,NA,2
2021,3,20,"Alabama","Iona","N",68,55,FALSE,FALSE,NA,2
2021,3,22,"Alabama","Maryland","N",96,77,FALSE,FALSE,NA,2
2021,3,28,"Alabama","UCLA","N",78,88,FALSE,FALSE,NA,2
2020,11,29,"Alabama A&M","Samford","V",78,76,FALSE,FALSE,NA,2
2020,12,5,"Alabama A&M","Ohio St.","V",NA,NA,TRUE,FALSE,NA,2
2020,12,16,"Alabama A&M","North Ala.","V",NA,NA,TRUE,FALSE,NA,2
2020,12,19,"Alabama A&M","South Alabama","H",93,90,FALSE,FALSE,NA,2
2021,1,2,"Alabama A&M","Jackson St.","H",NA,NA,FALSE,TRUE,NA,2
2021,1,4,"Alabama A&M","Grambling","H",NA,NA,FALSE,TRUE,NA,2
2021,1,9,"Alabama A&M","Mississippi Val.","V",NA,NA,FALSE,TRUE,NA,2
2021,1,11,"Alabama A&M","Ark.-Pine Bluff","V",NA,NA,FALSE,TRUE,NA,2
2021,1,16,"Alabama A&M","Alabama St.","H",70,63,FALSE,FALSE,NA,2
2021,1,23,"Alabama A&M","Southern U.","H",68,58,FALSE,FALSE,NA,2
2021,1,25,"Alabama A&M","Alcorn","H",NA,NA,FALSE,TRUE,NA,2
2021,1,30,"Alabama A&M","Prairie View","V",57,79,FALSE,FALSE,NA,2
2021,2,1,"Alabama A&M","Texas Southern","V",49,66,FALSE,FALSE,NA,2
2021,2,6,"Alabama A&M","Mississippi Val.","H",93,58,FALSE,FALSE,NA,2
2021,2,8,"Alabama A&M","Ark.-Pine Bluff","H",56,55,FALSE,FALSE,NA,2
2021,2,13,"Alabama A&M","Alabama St.","V",58,72,FALSE,FALSE,NA,2
2021,2,22,"Alabama A&M","Alcorn","V",52,65,FALSE,FALSE,NA,2
2021,2,24,"Alabama A&M","Southern U.","V",57,73,FALSE,FALSE,NA,2
2021,2,27,"Alabama A&M","Prairie View","H",54,55,FALSE,FALSE,NA,2
2021,3,1,"Alabama A&M","Texas Southern","H",58,68,FALSE,FALSE,NA,2
2021,3,4,"Alabama A&M","Jackson St.","V",35,50,FALSE,FALSE,NA,2
2021,3,6,"Alabama A&M","Grambling","V",72,80,FALSE,FALSE,NA,2
2021,1,2,"Alabama St.","Grambling","H",49,66,FALSE,FALSE,NA,2
2021,1,4,"Alabama St.","Jackson St.","H",44,60,FALSE,FALSE,NA,2
2021,1,9,"Alabama St.","Ark.-Pine Bluff","V",82,91,FALSE,FALSE,NA,2
2021,1,12,"Alabama St.","Mississippi Val.","V",64,51,FALSE,FALSE,NA,2
2021,1,16,"Alabama St.","Alabama A&M","V",63,70,FALSE,FALSE,NA,2
2021,1,23,"Alabama St.","Alcorn","H",52,57,FALSE,FALSE,NA,2
2021,1,25,"Alabama St.","Southern U.","H",66,64,FALSE,FALSE,NA,2
2021,1,30,"Alabama St.","Texas Southern","V",73,80,FALSE,FALSE,NA,2
2021,2,1,"Alabama St.","Prairie View","V",63,87,FALSE,FALSE,NA,2
2021,2,6,"Alabama St.","Ark.-Pine Bluff","H",73,67,FALSE,FALSE,NA,2
2021,2,8,"Alabama St.","Mississippi Val.","H",65,68,FALSE,FALSE,NA,2
2021,2,13,"Alabama St.","Alabama A&M","H",72,58,FALSE,FALSE,NA,2
2021,2,20,"Alabama St.","Alcorn","V",NA,NA,FALSE,TRUE,NA,2
2021,2,22,"Alabama St.","Southern U.","V",66,75,FALSE,FALSE,NA,2
2021,2,24,"Alabama St.","Alcorn","V",59,68,FALSE,FALSE,NA,2
2021,2,27,"Alabama St.","Texas Southern","H",76,86,FALSE,FALSE,NA,2
2021,3,1,"Alabama St.","Prairie View","H",67,70,FALSE,FALSE,NA,2
2021,3,4,"Alabama St.","Grambling","V",68,91,FALSE,FALSE,NA,2
2021,3,6,"Alabama St.","Jackson St.","V",54,79,FALSE,FALSE,NA,2
2020,11,28,"Albany (NY)","Marist","H",NA,NA,TRUE,FALSE,NA,2
2020,12,19,"Albany (NY)","UMBC","H",64,65,FALSE,FALSE,NA,2
